Jasmijn,,Mads,,Eva,,Koen,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
750,0.0001907697006,750,0.005279250443,750,0.005082487594,750,0.009278219193,
749.5999756,0.000290175085,749.5999756,0.005180687644,749.5999756,0.004990829621,749.5999756,0.009404881857,
749.2000122,5.433804836E-5,749.2000122,0.005206465721,749.2000122,0.004949747119,749.2000122,0.009236967191,
748.7999878,0.0001364145864,748.7999878,0.005476312246,748.7999878,0.004983079154,748.7999878,0.009205819108,
748.4000244,0.0001567419386,748.4000244,0.005388581194,748.4000244,0.005050745327,748.4000244,0.009434351698,
748,-0.0001827682427,748,0.004942285363,748,0.004698152188,748,0.008946858346,
747.5999756,4.589824675E-5,747.5999756,0.005331343971,747.5999756,0.004992400762,747.5999756,0.009255953133,
747.2000122,-0.0001377432782,747.2000122,0.005161145236,747.2000122,0.004893457983,747.2000122,0.009181679226,
746.7999878,-0.0001065853357,746.7999878,0.004939169623,746.7999878,0.004951579962,746.7999878,0.009065336548,
746.4000244,-1.553157887E-7,746.4000244,0.005133771803,746.4000244,0.004958099686,746.4000244,0.009206268005,
746,-0.0003117622109,746,0.005113891326,746,0.004958544858,746,0.009091346525,
745.5999756,-0.0001487153058,745.5999756,0.005086835008,745.5999756,0.004884269089,745.5999756,0.009148340672,
745.2000122,-2.914662218E-5,745.2000122,0.005022672005,745.2000122,0.004930031952,745.2000122,0.009118283167,
744.7999878,-0.0002117991098,744.7999878,0.005243590102,744.7999878,0.004933252465,744.7999878,0.009289299138,
744.4000244,-0.000241345464,744.4000244,0.005141761154,744.4000244,0.004991117865,744.4000244,0.00921560172,
744,-0.0001940496295,744,0.005067009013,744,0.004954983946,744,0.009152914397,
743.5999756,-0.0003421812144,743.5999756,0.004972448107,743.5999756,0.004774620291,743.5999756,0.00898710452,
743.2000122,-0.0002304792724,743.2000122,0.005061221309,743.2000122,0.004897856154,743.2000122,0.009227235802,
742.7999878,-0.0002661297331,742.7999878,0.005000780337,742.7999878,0.004838668276,742.7999878,0.009157302789,
742.4000244,-0.0002042957785,742.4000244,0.005022776779,742.4000244,0.004747140687,742.4000244,0.008928043768,
742,-0.0001593247871,742,0.004965116736,742,0.004895840306,742,0.00888888631,
741.5999756,-0.000242639042,741.5999756,0.005025447812,741.5999756,0.004683184437,741.5999756,0.008881963789,
741.2000122,-2.070828123E-5,741.2000122,0.005170811433,741.2000122,0.004748789128,741.2000122,0.0090327207,
740.7999878,-0.0002060034458,740.7999878,0.005138905719,740.7999878,0.00477823196,740.7999878,0.008982532658,
740.4000244,-0.000301156455,740.4000244,0.005027804989,740.4000244,0.004832281265,740.4000244,0.009099620394,
740,-0.0005663778866,740,0.004812571686,740,0.00457580993,740,0.008797187358,
739.5999756,-0.0003065369674,739.5999756,0.004982921761,739.5999756,0.004633157048,739.5999756,0.009147574194,
739.2000122,-6.942061736E-5,739.2000122,0.004998502322,739.2000122,0.004794721026,739.2000122,0.009168803692,
738.7999878,-0.0002467784798,738.7999878,0.005022776779,738.7999878,0.004621043336,738.7999878,0.008925243281,
738.4000244,-0.0002556263353,738.4000244,0.005096683279,738.4000244,0.004658693448,738.4000244,0.009081010707,
738,-0.0004274775274,738,0.004989887122,738,0.004592448007,738,0.009008115157,
737.5999756,-0.0002783402742,737.5999756,0.004950951785,737.5999756,0.004484808538,737.5999756,0.008900617249,
737.2000122,-0.0003589417902,737.2000122,0.00501560187,737.2000122,0.004482323769,737.2000122,0.008913774975,
