,PSILTAF,PSILTCE,PSILTHA,PSILTHP,PSILTAT,PSILTFA,Pigments in acetone
602.3083,-1779.859375,-184.3017578,186.5703125,845.0625,0.001308053,0.000913361,8037.0625
603.30982,-4019.84375,578.4555664,1763.949219,-432.28125,0.001426008,0.000881764,2641.0625
604.31134,-30.8203125,-1012.961182,3535.246094,-112.375,0.00111335,0.000789767,3630.4375
605.31286,-360.8828125,477.2275391,-3496.648438,378.5625,0.001030677,0.000842742,7253.1875
606.31438,-1835.640625,650.9143066,992.515625,2861.4375,0.001092552,0.000743577,7313.5
607.3159,946.9453125,146.9758301,-470.5703125,2552.84375,0.001001052,0.000609818,11381
608.31742,470.046875,719.552002,-1463.886719,1565.5,0.000898365,0.000669655,10471.3125
609.31894,299.5859375,1241.005859,357.7070313,3783.375,0.000809399,0.000625907,8538.9375
610.32046,3016.554688,788.3303223,5731.238281,-288.90625,0.000725289,0.000617216,5848.75
611.32198,806.578125,971.1030273,1388.207031,2817,0.000845675,0.00054666,5558.75
612.3235,4085.601563,1628.689209,6180.082031,1097.75,0.000792523,0.000519115,10170.375
613.32502,1512.671875,94.59106445,3136.214844,4625.375,0.00070217,0.000458454,10622.6875
614.32654,8368.367188,818.5827637,5073.027344,11587.5625,0.000572128,0.000400086,23202.5625
615.32806,8096.382813,2046.513184,3715.90625,10820.28125,0.00050015,0.000444785,15803.4375
616.32958,13210.32031,1872.22583,5695.292969,9105.3125,0.000661944,0.000394277,26758
617.3311,18383.71875,2884.627197,5213.195313,13336.6875,0.000703717,0.000345223,20847.1875
618.33262,22343.69531,2858.2229,8681.035156,18768.4375,0.00053605,0.000355385,33136.1875
619.33414,21856.86719,4783.27002,6244.824219,18147,0.000393939,0.000277109,48233.875
620.33566,24629.04688,6742.413086,12023.58203,20344.75,0.000458808,0.000291075,43841.9375
621.33718,32419.16406,6529.166504,7319.003906,22847.5,0.000288374,0.000250243,50962
622.3387,28725.07031,7403.540039,15674.55859,29840.4375,0.000394463,0.000257074,62947.125
623.34022,22891.74219,7400.420898,15654.21875,36114.71875,0.000414627,0.000200609,71038.875
