Wavelength (nm),PSI fittonia,PSI arabidopsis
800,-1.60E-04,-6.25E-04
799.5999756,-3.85E-04,-5.25E-04
799.2000122,-2.72E-04,-3.85E-04
798.7999878,-2.01E-04,-7.42E-04
798.4000244,-1.98E-04,-5.35E-04
798,-4.43E-04,-7.99E-04
797.5999756,-4.52E-06,-4.58E-04
797.2000122,1.02E-04,-5.28E-04
796.7999878,-1.13E-05,-5.39E-04
796.4000244,-1.52E-04,-2.74E-04
796,1.12E-04,-6.79E-04
795.5999756,-9.41E-06,-5.63E-04
795.2000122,-2.28E-04,-5.98E-04
794.7999878,-5.15E-04,-8.39E-04
794.4000244,-2.87E-04,-6.72E-04
794,-2.06E-04,-8.70E-04
793.5999756,-2.96E-04,-7.37E-04
793.2000122,-2.95E-04,-6.48E-04
792.7999878,-2.25E-04,-5.77E-04
792.4000244,-3.97E-04,-7.17E-04
792,-4.66E-04,-7.60E-04
791.5999756,-4.68E-04,-6.40E-04
791.2000122,-4.47E-04,-6.30E-04
790.7999878,-3.93E-04,-9.31E-04
790.4000244,-3.07E-04,-5.06E-04
790,-3.54E-04,-8.21E-04
789.5999756,-2.22E-04,-8.02E-04
789.2000122,-1.56E-04,-7.17E-04
788.7999878,-3.13E-04,-6.34E-04
788.4000244,-4.06E-04,-0.001020209
788,-4.00E-04,-9.87E-04
787.5999756,-9.22E-05,-8.21E-04
787.2000122,-2.23E-05,-5.70E-04
786.7999878,-5.40E-04,-5.52E-04
786.4000244,-3.97E-04,-6.57E-04
786,-5.74E-04,-8.02E-04
785.5999756,-2.66E-04,-5.96E-04
785.2000122,-4.55E-04,-0.00106034
784.7999878,-1.65E-04,-9.16E-04
784.4000244,-4.26E-04,-7.81E-04
784,-3.81E-04,-0.00106473
783.5999756,-4.16E-04,-0.001244263
783.2000122,-2.51E-04,-6.67E-04
782.7999878,-3.07E-04,-0.001275494
782.4000244,-1.56E-04,-0.001107438
782,-4.78E-04,-0.001080894
781.5999756,-1.62E-04,-4.14E-04
781.2000122,-2.62E-04,-5.30E-04
780.7999878,-2.78E-04,-8.57E-04
780.4000244,-5.32E-04,-0.001213391
780,-3.87E-04,-0.001216798
779.5999756,-9.64E-05,-0.001263673
779.2000122,-3.46E-04,-0.001096181
778.7999878,-5.88E-04,-0.001187008
778.4000244,-3.73E-04,-0.001019021
778,-5.87E-04,-9.43E-04
777.5999756,-8.87E-04,-0.001240288
777.2000122,-5.73E-04,-0.001347653
776.7999878,-2.95E-04,-0.001167698
776.4000244,-6.14E-04,-0.001108677
776,-3.52E-04,-0.001183394
775.5999756,-6.47E-04,-0.001372168
775.2000122,-5.45E-04,-0.001440853
774.7999878,-1.61E-04,-9.35E-04
774.4000244,-1.66E-04,-0.001047583
774,1.73E-04,-6.24E-04
773.5999756,-1.12E-04,-7.78E-04
773.2000122,-3.76E-04,-0.001172758
772.7999878,-2.80E-04,-0.001340531
772.4000244,2.62E-06,-9.33E-04
772,-3.62E-05,-0.001110795
771.5999756,-2.59E-04,-0.001012823
771.2000122,-4.58E-05,-7.94E-04
770.7999878,7.72E-05,-0.001056208
770.4000244,-1.67E-04,-0.001198005
770,-6.81E-05,-0.00115954
769.5999756,-1.30E-04,-0.00120766
769.2000122,-1.04E-04,-0.001107077
768.7999878,5.02E-05,-0.001027595
768.4000244,-1.49E-04,-0.001288192
768,-3.02E-04,-0.0012725
767.5999756,-1.14E-04,-0.00117219
767.2000122,-1.78E-04,-0.001324479
766.7999878,7.99E-05,-8.79E-04
766.4000244,-9.54E-05,-0.001244418
766,1.29E-04,-0.001176166
765.5999756,2.59E-05,-0.001033328
765.2000122,6.60E-05,-8.48E-04
764.7999878,-3.64E-05,-0.001036892
764.4000244,1.61E-04,-0.0011915
