Baseline 100%T,,Koen,,Mads,,Eva,,Jasmijn,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
750,0.3611373603,750,-0.0002913782373,750,0.06538648158,750,0.03563427925,750,0.05428493768,
749.5999756,0.3610427678,749.5999756,-0.0003143489594,749.5999756,0.06556966156,749.5999756,0.03572504967,749.5999756,0.05438896269,
749.2000122,0.3609809279,749.2000122,-0.0001115024352,749.2000122,0.06574605405,749.2000122,0.03581097722,749.2000122,0.05441170186,
748.7999878,0.3610839546,748.7999878,-0.0002314624144,748.7999878,0.06564210355,748.7999878,0.03582950309,748.7999878,0.05452274159,
748.4000244,0.3611716032,748.4000244,-0.0003597177274,748.4000244,0.06556734443,748.4000244,0.03560171276,748.4000244,0.05444189534,
748,0.3611781001,748,-0.00026990677,748,0.06568118185,748,0.03581612185,748,0.0544286333,
747.5999756,0.3611009419,747.5999756,-7.568397268E-5,747.5999756,0.06584138423,747.5999756,0.03579616174,747.5999756,0.0545974113,
747.2000122,0.3612057865,747.2000122,-0.0002748737461,747.2000122,0.06592874974,747.2000122,0.0358546339,747.2000122,0.05461358652,
746.7999878,0.3612664044,746.7999878,-0.0003112448612,746.7999878,0.06580071896,746.7999878,0.03579886258,746.7999878,0.05466448888,
746.4000244,0.3613907993,746.4000244,-0.000193169908,746.4000244,0.06570274383,746.4000244,0.03570411354,746.4000244,0.05464358628,
746,0.3614759743,746,-0.0002338943887,746,0.06561837345,746,0.03563174978,746,0.05440545082,
745.5999756,0.361408174,745.5999756,-9.87178646E-5,745.5999756,0.06589373946,745.5999756,0.03568337113,745.5999756,0.05466419831,
745.2000122,0.361285001,745.2000122,-4.504135177E-6,745.2000122,0.06608068943,745.2000122,0.03574281186,745.2000122,0.0549187772,
744.7999878,0.3613018394,744.7999878,5.011812755E-5,744.7999878,0.06608258933,744.7999878,0.03590288013,744.7999878,0.05476414412,
744.4000244,0.3614881039,744.4000244,-0.0002655606077,744.4000244,0.06590995193,744.4000244,0.03546768054,744.4000244,0.05447866395,
744,0.3614116609,744,-0.0001849417458,744,0.06601712853,744,0.03573196381,744,0.05450915545,
743.5999756,0.3614655137,743.5999756,-0.0002074523654,743.5999756,0.06595243514,743.5999756,0.03558544442,743.5999756,0.05458379164,
743.2000122,0.3612838984,743.2000122,-3.240802471E-5,743.2000122,0.06626756489,743.2000122,0.03569441661,743.2000122,0.0549034141,
742.7999878,0.3614064753,742.7999878,-9.892490198E-5,742.7999878,0.06616210938,742.7999878,0.03545015305,742.7999878,0.05471777916,
742.4000244,0.3612824678,742.4000244,-6.191481953E-5,742.4000244,0.06619321555,742.4000244,0.03566724062,742.4000244,0.05493707955,
742,0.3613314927,742,-5.047470404E-5,742,0.0659430325,742,0.03552363813,742,0.05474602431,
741.5999756,0.3613226414,741.5999756,-0.0001064300595,741.5999756,0.06597858667,741.5999756,0.03552993014,741.5999756,0.05474837497,
741.2000122,0.3611792922,741.2000122,6.756290077E-6,741.2000122,0.06628819555,741.2000122,0.03569154814,741.2000122,0.05485688895,
740.7999878,0.361035645,740.7999878,0.0001117382126,740.7999878,0.06635022908,740.7999878,0.03579602391,740.7999878,0.05505754054,
740.4000244,0.3610776961,740.4000244,6.47456327E-5,740.4000244,0.06621525437,740.4000244,0.03557375818,740.4000244,0.05484942719,
740,0.3612766564,740,-0.000394219649,740,0.0659212172,740,0.03528694063,740,0.05438872799,
739.5999756,0.3610990345,739.5999756,-0.0001796114811,739.5999756,0.06628915668,739.5999756,0.03562851995,739.5999756,0.05455573276,
739.2000122,0.3609096706,739.2000122,-5.471949044E-5,739.2000122,0.06625156105,739.2000122,0.03544015437,739.2000122,0.05474015325,
738.7999878,0.360942632,738.7999878,5.646096542E-5,738.7999878,0.06623446196,738.7999878,0.03532498702,738.7999878,0.05473427847,
738.4000244,0.3608407676,738.4000244,2.749176929E-5,738.4000244,0.06629223377,738.4000244,0.03550304472,738.4000244,0.05485292152,
738,0.3608472645,738,-8.075671212E-5,738,0.06645856798,738,0.03549063206,738,0.0547205098,
737.5999756,0.3606898189,737.5999756,2.202951691E-5,737.5999756,0.06662904471,737.5999756,0.03541398048,737.5999756,0.05472309142,
737.2000122,0.3605832458,737.2000122,0.0001466946705,737.2000122,0.06675701588,737.2000122,0.03548815846,737.2000122,0.05497400463,
736.7999878,0.3607287109,736.7999878,5.967125617E-5,736.7999878,0.06657870859,736.7999878,0.03534236923,736.7999878,0.05471489951,
736.4000244,0.360556215,736.4000244,-6.305363786E-5,736.4000244,0.06645675749,736.4000244,0.03535842896,736.4000244,0.0547202453,
736,0.3605025411,736,-0.0001894439629,736,0.06645096838,736,0.03536109626,736,0.05472702906,
735.5999756,0.3604444563,735.5999756,-6.947237853E-5,735.5999756,0.06652303785,735.5999756,0.03544782475,735.5999756,0.05487145483,
735.2000122,0.3602689207,735.2000122,3.562055281E-5,735.2000122,0.06674871594,735.2000122,0.03558370471,735.2000122,0.05496519059,
734.7999878,0.360262394,734.7999878,6.083245353E-6,734.7999878,0.06677419692,734.7999878,0.03536289558,734.7999878,0.05478666723,
734.4000244,0.3602123559,734.4000244,1.364211948E-5,734.4000244,0.06672945619,734.4000244,0.03535559401,734.4000244,0.05485647544,
734,0.3603158593,734,-5.244180647E-5,734,0.06683448702,734,0.03530420735,734,0.05481027812,
