Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
750,0.3625210226,750,-0.0008359330241,750,0.02876835316,750,-0.007677491289,750,-0.0002992939553,
749.5999756,0.3623990417,749.5999756,-0.000715674716,749.5999756,0.02889244817,749.5999756,-0.00758602703,749.5999756,0.0001121524911,
749.2000122,0.3624902964,749.2000122,-0.0007893737056,749.2000122,0.02873043343,749.2000122,-0.00759259006,749.2000122,0.0001477563492,
748.7999878,0.3624255061,748.7999878,-0.0006887968048,748.7999878,0.02906196751,748.7999878,-0.007603832986,748.7999878,0.0005161880981,
748.4000244,0.3624649644,748.4000244,-0.0008064787835,748.4000244,0.02899037115,748.4000244,-0.007768987678,748.4000244,0.0007218603278,
748,0.3623338342,748,-0.0003986162483,748,0.02916773595,748,-0.007578751538,748,0.0009310283349,
747.5999756,0.3622669578,747.5999756,-0.0002581099398,747.5999756,0.0292827785,747.5999756,-0.007702261675,747.5999756,0.001001387369,
747.2000122,0.3622791767,747.2000122,-0.0005572261289,747.2000122,0.02921873331,747.2000122,-0.007690309081,747.2000122,0.001235299162,
746.7999878,0.3621581495,746.7999878,-0.0004145470739,746.7999878,0.02953379229,746.7999878,-0.007650786545,746.7999878,0.001480350038,
746.4000244,0.3621270061,746.4000244,-0.0002767881087,746.4000244,0.02971805818,746.4000244,-0.007552956697,746.4000244,0.001789269038,
746,0.3621107042,746,-8.634700498E-5,746,0.02984164841,746,-0.007649159059,746,0.001957683358,
745.5999756,0.3620369732,745.5999756,-0.0002021223772,745.5999756,0.02982312627,745.5999756,-0.00763862906,745.5999756,0.002105561085,
745.2000122,0.3620358706,745.2000122,-5.922305718E-5,745.2000122,0.02997162566,745.2000122,-0.007663910277,745.2000122,0.002315552905,
744.7999878,0.361913681,744.7999878,8.996305405E-5,744.7999878,0.03027482517,744.7999878,-0.00748187257,744.7999878,0.002742067212,
744.4000244,0.3618592918,744.4000244,8.698556485E-5,744.4000244,0.03008790873,744.4000244,-0.007540897932,744.4000244,0.00290386728,
744,0.3619163334,744,0.000130640241,744,0.03028742597,744,-0.007894476876,744,0.002935244236,
743.5999756,0.3618170321,743.5999756,0.0002691680274,743.5999756,0.03029564209,743.5999756,-0.007782311179,743.5999756,0.003414884442,
743.2000122,0.3616946638,743.2000122,0.0004060817882,743.2000122,0.03047578782,743.2000122,-0.007690258324,743.2000122,0.003604497993,
742.7999878,0.3616689742,742.7999878,0.0004462703364,742.7999878,0.03060384467,742.7999878,-0.007671947125,742.7999878,0.003785707755,
742.4000244,0.3616735041,742.4000244,0.0005201274762,742.4000244,0.03065739945,742.4000244,-0.007635322399,742.4000244,0.004111950751,
742,0.3615737557,742,0.000676953583,742,0.03099240921,742,-0.007760342211,742,0.00447097281,
