ab-Eva;ab-Jasmijn;ab-Mads;ab-Koen;ab-Nicco;ab-model;flLT-AF;flLT-CE;flLT-HA;flLT-HP;flLT-FA;flLT-AT;flRT-FA;flRT-AT;flRT-AF;flRT-CE;flRT-HA;flRT-HP
-0,000741104;-0,012785387;-0,000518238;-0,019468872;-0,000108966;0,001335126;274,328125;2512,8125;1029,421875;-5081,0625;1763,9375;0,005623602;1,78677E-05;7,4105E-05;-3320,9375;-1783,710938;-516,5214844;4895,554688
-0,001708887;-0,016404687;-0,003437477;-0,021547344;-0,001098556;0,00103722;-217,0898438;3999,71875;4766,445313;6777,75;-1062,375;0,005312081;2,30785E-05;0,00028083;2682,324219;3846,839844;3989,132813;6438,875
-0,002096252;-0,014935534;-0,002398173;-0,021238681;-0,000550556;0,000922987;1636,652344;13389,875;3677,460938;-2166,15625;1786,09375;0,004993302;0,000106414;7,94343E-05;4961,625;3904,917969;5542,638672;-305,8398438
-0,000808442;-0,012793581;-0,000866005;-0,018930795;-0,000276374;0,001516975;1474,660156;10859,53125;675,3984375;4237,8125;-3608,03125;0,004694658;9,7083E-05;0,000142807;-1488,488281;473,3710938;618,1074219;3493,658203
-0,000192031;-0,012593665;-0,000915811;-0,018655233;0,00055859;0,001071343;-564,5585938;-3079,125;-849,03125;1636,71875;4042,09375;0,004300855;7,81286E-05;0,000145404;6216,191406;9379,390625;4861,59375;3139,494141
-0,002665668;-0,01313819;-0,002657538;-0,019348515;-0,000232187;0,000173186;-2649,757813;4169,03125;3642,984375;-4926,78125;2879,0625;0,004456024;0,000161162;0;44,76953125;2435,441406;7235,507813;7041,488281
-0,000580907;-0,013181787;-0,00309562;-0,020213738;0,000699692;0,001647839;-751,40625;2253,46875;-1374,414063;8228,40625;4809,09375;0,004141585;0;0,000113515;2398,667969;875,2929688;-150,8613281;465,0058594
-0,001998142;-0,014545839;-0,003069043;-0,020430133;-0,00043927;0,001016047;6270,945313;8933,46875;6322,398438;11462,59375;10643,65625;0,00413363;4,47423E-05;0,00024643;2025,554688;2875,613281;2223,021484;1259,214844
-0,002936495;-0,014386549;-0,002751126;-0,021894284;-0,001497559;0,000601722;-3248,597656;5439,78125;7567,085938;-313,9375;11585,875;0,003530848;7,03249E-05;0,00024871;46;8511,148438;7070,902344;6461,001953
-7,15E-05;-0,012685188;-0,000404978;-0,019141637;-0,001168524;0,000488406;3333,640625;13852,65625;6434,398438;14436,1875;13477,28125;0,003659245;5,99161E-05;0,000147368;-357,2070313;93,21484375;-558,7753906;3687,638672
-0,0009871;-0,014111444;-0,000868692;-0,018936446;-0,000878251;0,000328876;1746,082031;23169,90625;19657,01563;27850,0625;17872,03125;0,003272001;0,000209553;1,08839E-05;861,5234375;2130,0625;4309,158203;7358,289063
-0,000788754;-0,012225924;-0,001556733;-0,019641006;0,000160264;0,002549731;3220,675781;24559,875;17643,99219;43880,96875;24583,1875;0,003144753;0,000170845;0,000223002;2914,746094;2146,988281;3939,306641;6639,986328
-0,001768187;-0,015349817;-0,002517606;-0,020724513;0,000133048;0,001987978;6200;17881,875;20429,29688;62382,3125;30475,65625;0,00307377;0,000154369;0,000121912;2519,511719;4244,605469;-3889,912109;-1155,417969
-0,001994792;-0,01443678;-0,001646742;-0,02105909;0,000546434;0,001905109;12525,17188;41073,625;27805,28906;65807,5;38716,34375;0,002714062;0,00022452;0,000300535;-1615,695313;4277,535156;676,5839844;6300,505859
-0,000833401;-0,013426058;-0,00189403;-0,018770576;0,000608176;0,001296854;10262,74219;44112,65625;39763,875;91220,34375;54301,40625;0,002837419;0,000249319;0,000399547;2161,96875;97,359375;5751,732422;5931,705078
-0,001979228;-0,013900451;-0,002753441;-0,020267451;-4,77E-05;0,00085207;14149,375;63344,125;48169,98438;116929,375;63906,46875;0,002817454;0,000366271;0,000431767;2606,019531;2235,570313;-1017,373047;6486,949219
-0,002674775;-0,015173222;-0,002638601;-0,02000742;-0,000131895;0,000980631;20799,70703;83581,9375;57039,54688;146131,0938;80004,5625;0,00250546;0,000340948;0,000470074;49,26171875;8305,65625;1549,486328;938,9277344
-0,00082689;-0,014349484;-0,002198564;-0,020033425;-0,00137867;0,001402512;20600,19531;86628,28125;61407,03125;169788,2188;90806,75;0,002320212;0,000444088;0,000529296;6570,222656;-2506,84375;3750,111328;10423,26953
-0,001096232;-0,014379636;-0,002762907;-0,019612256;0,000650172;0,001550668;29003,80469;100552,875;82425,60156;190429,4688;111330,75;0,002299983;0,00053786;0,000412445;8806,207031;10212,85938;3790,207031;6656,382813
-0,001511231;-0,01436992;-0,002463814;-0,02098377;0,000979204;0,000844833;31120,1875;125430,75;94251,14844;233163;139893,5313;0,002003459;0,000578313;0,000685861;7110,738281;8115,757813;5594,992188;9363,927734
-0,000423185;-0,013426058;-0,002605615;-0,019192612;0,000287688;0,00167003;45419,57422;149717,125;111294,2031;256889,25;143120,9063;0,002086616;0,00071937;0,000653248;7185,34375;3239,785156;-622,5664063;3649,724609
-0,00069929;-0,012495032;-0,001186853;-0,01828187;-0,001514791;-0,000869725;46423,66016;165314,8125;119511,2031;301039,8438;175486,5938;0,002286218;0,000595953;0,000615614;7736,949219;4630,179688;1638,523438;5034,201172
-0,001602023;-0,012995666;-0,002059618;-0,019945862;-0,000207142;0,001814223;39479,36328;195178;142998,2031;343943,125;197301,4375;0,002199639;0,000736262;0,000752031;4623,636719;6526,058594;4854,447266;4194,853516
