Nicco;Model;Eva;Jasmijn;Mads;Koen;Koen-AC;fl-AT;fl-AF;;;;;;
-1,60E-04;-6,25E-04;-0,000835933;-0,007677491;-0,000299294;0,028768353;-0,000291378;0,001308053;-1779,859375;;;;;;
-3,85E-04;-5,25E-04;-0,000715675;-0,007586027;0,000112152;0,028892448;-0,000314349;0,001426008;-4019,84375;;;;;;
-2,72E-04;-3,85E-04;-0,000789374;-0,00759259;0,000147756;0,028730433;-0,000111502;0,00111335;-30,8203125;;;;;;
-2,01E-04;-7,42E-04;-0,000688797;-0,007603833;0,000516188;0,029061968;-0,000231462;0,001030677;-360,8828125;;;;;;
-1,98E-04;-5,35E-04;-0,000806479;-0,007768988;0,00072186;0,028990371;-0,000359718;0,001092552;-1835,640625;;;;;;
-4,43E-04;-7,99E-04;-0,000398616;-0,007578752;0,000931028;0,029167736;-0,000269907;0,001001052;946,9453125;;;;;;
-4,52E-06;-4,58E-04;-0,00025811;-0,007702262;0,001001387;0,029282779;-7,57E-05;0,000898365;470,046875;;;;;;
1,02E-04;-5,28E-04;-0,000557226;-0,007690309;0,001235299;0,029218733;-0,000274874;0,000809399;299,5859375;;;;;;
-1,13E-05;-5,39E-04;-0,000414547;-0,007650787;0,00148035;0,029533792;-0,000311245;0,000725289;3016,554688;;;;;;
-1,52E-04;-2,74E-04;-0,000276788;-0,007552957;0,001789269;0,029718058;-0,00019317;0,000845675;806,578125;;;;;;
1,12E-04;-6,79E-04;-8,63E-05;-0,007649159;0,001957683;0,029841648;-0,000233894;0,000792523;4085,601563;;;;;;
-9,41E-06;-5,63E-04;-0,000202122;-0,007638629;0,002105561;0,029823126;-9,87E-05;0,00070217;1512,671875;;;;;;
-2,28E-04;-5,98E-04;-5,92E-05;-0,00766391;0,002315553;0,029971626;-4,50E-06;0,000572128;8368,367188;;;;;;
-5,15E-04;-8,39E-04;9,00E-05;-0,007481873;0,002742067;0,030274825;5,01E-05;0,00050015;8096,382813;;;;;;
-2,87E-04;-6,72E-04;8,70E-05;-0,007540898;0,002903867;0,030087909;-0,000265561;0,000661944;13210,32031;;;;;;
-2,06E-04;-8,70E-04;0,00013064;-0,007894477;0,002935244;0,030287426;-0,000184942;0,000703717;18383,71875;;;;;;
-2,96E-04;-7,37E-04;0,000269168;-0,007782311;0,003414884;0,030295642;-0,000207452;0,00053605;22343,69531;;;;;;
-2,95E-04;-6,48E-04;0,000406082;-0,007690258;0,003604498;0,030475788;-3,24E-05;0,000393939;21856,86719;;;;;;
-2,25E-04;-5,77E-04;0,00044627;-0,007671947;0,003785708;0,030603845;-9,89E-05;0,000458808;24629,04688;;;;;;
-3,97E-04;-7,17E-04;0,000520127;-0,007635322;0,004111951;0,030657399;-6,19E-05;0,000288374;32419,16406;;;;;;
-4,66E-04;-7,60E-04;0,000676954;-0,007760342;0,004470973;0,030992409;-5,05E-05;0,000394463;28725,07031;;;;;;
-4,68E-04;-6,40E-04;0,000870329;-0,007510928;0,004833171;0,031357892;-0,00010643;0,000414627;22891,74219;;;;;;
-4,47E-04;-6,30E-04;0,000889705;-0,007756986;0,005070806;0,031153934;6,76E-06;0,000308965;36571,61719;;;;;;
-3,93E-04;-9,31E-04;0,001027048;-0,00774478;0,005403992;0,031255983;0,000111738;0,000406774;41793,21875;;;;;;
-3,07E-04;-5,06E-04;0,00110905;-0,007528636;0,005779719;0,031628065;6,47E-05;0,000269831;47373,9375;;;;;;
-3,54E-04;-8,21E-04;0,001176712;-0,007599356;0,006006036;0,031819325;-0,00039422;0,000246659;53953,34375;;;;;;
-2,22E-04;-8,02E-04;0,001345694;-0,007489658;0,006442471;0,031968504;-0,000179611;0,000222147;56237,77344;;;;;;
-1,56E-04;-7,17E-04;0,00154368;-0,007645496;0,006850259;0,032074425;-5,47E-05;0,000233227;49698,27344;;;;;;
-3,13E-04;-6,34E-04;0,0015276;-0,007599255;0,007070057;0,03213672;5,65E-05;0,000115365;66756,21094;;;;;;
-4,06E-04;-0,001020209;0,001672863;-0,007632881;0,00743098;0,032478731;2,75E-05;0,00015062;59305,94531;;;;;;
-4,00E-04;-9,87E-04;0,001844065;-0,007538151;0,007871565;0,03284156;-8,08E-05;0;55224,57031;;;;;;
-9,22E-05;-8,21E-04;0,001985533;-0,007473578;0,008271042;0,032947473;2,20E-05;0,000356333;64941,29688;;;;;;
-2,23E-05;-5,70E-04;0,002085428;-0,007466453;0,008637824;0,033145625;0,000146695;0,000249101;64609,29688;;;;;;
-5,40E-04;-5,52E-04;0,002334135;-0,007412252;0,008828359;0,03341521;5,97E-05;0,0002775;53334,82031;;;;;;
-3,97E-04;-6,57E-04;0,002518486;-0,007262084;0,009342538;0,033656426;-6,31E-05;0,000205384;78744,24219;;;;;;
-5,74E-04;-8,02E-04;0,002664367;-0,007365578;0,009976689;0,033918656;-0,000189444;0,000238295;70128,45313;;;;;;
-2,66E-04;-5,96E-04;0,002874968;-0,007345319;0,010387201;0,034208689;-6,95E-05;0,000329878;79773,375;;;;;;
-4,55E-04;-0,00106034;0,003202092;-0,007329335;0,010785921;0,034534059;3,56E-05;0,000416535;80870,61719;;;;;;
-1,65E-04;-9,16E-04;0,003118912;-0,007349239;0,01113765;0,034561697;6,08E-06;0,000571661;89480,85938;;;;;;
-4,26E-04;-7,81E-04;0,003443219;-0,007169412;0,011584725;0,034780528;1,36E-05;0,000692292;81899,67188;;;;;;
-3,81E-04;-0,00106473;0,003665372;-0,007025425;0,011979837;0,034998711;-5,24E-05;0,000886182;93434,16406;;;;;;
-4,16E-04;-0,001244263;0,003753512;-0,007134476;0,012512096;0,035415214;4,53E-05;0,001019328;103304,2891;;;;;;
-2,51E-04;-6,67E-04;0,004045841;-0,007063476;0,012902612;0,035655495;8,24E-05;0,001525292;118147,6406;;;;;;
-3,07E-04;-0,001275494;0,00426608;-0,007078655;0,013537127;0,036017079;0,00024293;0,001713055;118340,1172;;;;;;
-1,56E-04;-0,001107438;0,004486168;-0,006975092;0,01400526;0,036308207;0,000203952;0,001952087;139052,6563;;;;;;
-4,78E-04;-0,001080894;0,004589178;-0,007045954;0,014347514;0,036561541;0,000178909;0,002053961;140232,1563;;;;;;
-1,62E-04;-4,14E-04;0,004967604;-0,006847706;0,01515175;0,036966044;-0,000107879;0,002729191;150316,0469;;;;;;
-2,62E-04;-5,30E-04;0,005154465;-0,006777984;0,015712848;0,037309907;0,000301909;0,00268124;170421,3906;;;;;;
-2,78E-04;-8,57E-04;0,005436992;-0,006762336;0,016315844;0,037806287;0,000264791;0,002678051;168544,6719;;;;;;
-5,32E-04;-0,001213391;0,005887313;-0,006651712;0,016958114;0,038233746;0,000289968;0,003153864;177119,9375;;;;;;
-3,87E-04;-0,001216798;0,00593864;-0,006505769;0,017439974;0,038552444;0,000171295;0,003239208;182527;;;;;;
-9,64E-05;-0,001263673;0,006175096;-0,006319673;0,018319972;0,038834717;0,000254352;0,003202505;186887,9688;;;;;;
-3,46E-04;-0,001096181;0,006501957;-0,006293701;0,018868012;0,039270021;0,000309007;0,003049078;184353,4688;;;;;;
-5,88E-04;-0,001187008;0,006820702;-0,00628722;0,019621627;0,039581258;0,000348876;0,003466515;183539,125;;;;;;
-3,73E-04;-0,001019021;0,007307024;-0,006195514;0,020416219;0,040156331;0,000533734;0,003137833;190689,6563;;;;;;
-5,87E-04;-9,43E-04;0,007375528;-0,006106187;0,021013178;0,040423058;0,000521423;0,002790063;155397,9375;;;;;;
-8,87E-04;-0,001240288;0,007723609;-0,005973082;0,021847041;0,041096438;0,000367555;0,002512133;173584,7813;;;;;;
-5,73E-04;-0,001347653;0,008051348;-0,005921145;0,022623438;0,041535351;0,0005257;0,002123819;155815,4063;;;;;;
-2,95E-04;-0,001167698;0,008496206;-0,005691112;0,023359073;0,042017654;0,000568465;0,002134268;165783,3125;;;;;;
-6,14E-04;-0,001108677;0,008616542;-0,005789056;0,024075272;0,042397905;0,000556542;0,001766496;146224,7031;;;;;;
-3,52E-04;-0,001183394;0,009101021;-0,0054925;0,02509083;0,043165583;0,00058985;0,001603371;151098,2813;;;;;;
-6,47E-04;-0,001372168;0,009359042;-0,005576536;0,025902754;0,043601871;0,000779089;0,001308298;139997,8906;;;;;;
-5,45E-04;-0,001440853;0,009780566;-0,005483759;0,026663292;0,044087593;0,000794338;0,001256522;143391,5625;;;;;;
-1,61E-04;-9,35E-04;0,010239922;-0,005347036;0,027499564;0,044590607;0,00054703;0,001074585;152801,1563;;;;;;
-1,66E-04;-0,001047583;0,010780109;-0,005019115;0,028568067;0,045361742;0,000790266;0,001269666;117149,0313;;;;;;
1,73E-04;-6,24E-04;0,011079438;-0,00507382;0,029655917;0,045698974;0,001099188;0,001301819;173588,0625;;;;;;
-1,12E-04;-7,78E-04;0,011421892;-0,005125908;0,030562488;0,046361841;0,000732828;0,001497694;188833,125;;;;;;
-3,76E-04;-0,001172758;0,011848164;-0,00497423;0,031406589;0,047001868;0,000993759;0,001986349;235393,7188;;;;;;
-2,80E-04;-0,001340531;0,012253234;-0,004833507;0,032567173;0,04773159;0,000975702;0,002505317;300220,8125;;;;;;
2,62E-06;-9,33E-04;0,012810836;-0,004471533;0,033701688;0,048481639;0,000892429;0,003428623;389128,9375;;;;;;
-3,62E-05;-0,001110795;0,013004891;-0,004558328;0,034619194;0,048965868;0,000946619;0,004830429;525174,75;;;;;;
-2,59E-04;-0,001012823;0,013402257;-0,004476555;0,035736911;0,04951762;0,000931988;0,006319925;784373,375;;;;;;
-4,58E-05;-7,94E-04;0,014117238;-0,00424191;0,03700652;0,050452415;0,000949629;0,008914783;1086496,25;;;;;;
7,72E-05;-0,001056208;0,014571435;-0,004015295;0,038259413;0,051157847;0,001163111;0,012051255;1443529,5;;;;;;
-1,67E-04;-0,001198005;0,015001052;-0,003814273;0,039462153;0,051919445;0,001186576;0,016304303;1962177,5;;;;;;
-6,81E-05;-0,00115954;0,015447028;-0,003738621;0,040669281;0,052657045;0,001171703;0,018951897;2349670,75;;;;;;
-1,30E-04;-0,00120766;0,016092902;-0,00352833;0,042053871;0,053398915;0,001043188;0,021174438;2503008,25;;;;;;
-1,04E-04;-0,001107077;0,016668532;-0,003390888;0,043401666;0,054200646;0,001274111;0,022771219;2529009,25;;;;;;
5,02E-05;-0,001027595;0,017381692;-0,003214244;0,044945326;0,055187028;0,001371661;0,023577174;2607708,5;;;;;;
-1,49E-04;-0,001288192;0,017720014;-0,002938037;0,046289928;0,056166198;0,001431079;0,022942398;2530008,5;;;;;;
-3,02E-04;-0,0012725;0,018245347;-0,002732297;0,047735084;0,05693667;0,001489701;0,024024203;2336564;;;;;;
-1,14E-04;-0,00117219;0,01882527;-0,002785336;0,049270622;0,057720747;0,001585923;0,024707775;2186687,25;;;;;;
-1,78E-04;-0,001324479;0,01946401;-0,002453569;0,050839487;0,058692466;0,001559111;0,024563335;1836883,5;;;;;;
7,99E-05;-8,79E-04;0,020240765;-0,002134532;0,052383576;0,059650868;0,001683205;0,023397496;1777986;;;;;;
-9,54E-05;-0,001244418;0,020873142;-0,001974796;0,054048318;0,060545109;0,001869438;0,024228416;1657846,375;;;;;;
1,29E-04;-0,001176166;0,021488247;-0,001796132;0,055648662;0,061691068;0,002001162;0,022829316;1565407,75;;;;;;
2,59E-05;-0,001033328;0,022318773;-0,001398075;0,057501454;0,062962189;0,002073282;0,022140645;1381414,75;;;;;;
6,60E-05;-8,48E-04;0,022963904;-0,001225936;0,059110597;0,063725367;0,002096223;0,023231068;1297067,75;;;;;;
-3,64E-05;-0,001036892;0,023605511;-0,001163051;0,06097953;0,064825661;0,002321643;0,023031018;1192492,25;;;;;;
1,61E-04;-0,0011915;0,024367454;-0,000894577;0,062962495;0,06631995;0,00228089;0,024023134;1048159,375;;;;;;
1,06E-04;-0,001136201;0,025309248;-0,000533338;0,065017112;0,067317046;0,002396939;0,0243915;1031697,75;;;;;;
-1,59E-05;-8,61E-04;0,026009075;-0,000370012;0,066993535;0,068476342;0,002641552;0,024343009;958573;;;;;;
1,96E-04;-0,001173016;0,026838938;-5,38E-05;0,069011159;0,069800802;0,002608582;0,022419665;923234,3125;;;;;;
4,27E-04;-0,001221857;0,027618414;0,000193826;0,07115712;0,071094245;0,002658351;0,02255984;818696,5;;;;;;
2,18E-04;-0,001217056;0,028360827;0,000481979;0,073157765;0,072167508;0,002743448;0,021198003;837655,8125;;;;;;
