ab-wv;ab-AF;ab-AT;fl-LTwv;fl-LTAF;fl-LTAT;fl-RTwv;fl-RTAF;fl-RTAT
800;-0,019468872;0,001335126;602,3083;274,328125;0,005623602;602,3083;-3320,9375;7,41E-05
799,5999756;-0,021547344;0,00103722;603,30982;-217,0898438;0,005312081;603,30982;2682,324219;0,00028083
799,2000122;-0,021238681;0,000922987;604,31134;1636,652344;0,004993302;604,31134;4961,625;7,94E-05
798,7999878;-0,018930795;0,001516975;605,31286;1474,660156;0,004694658;605,31286;-1488,488281;0,000142807
798,4000244;-0,018655233;0,001071343;606,31438;-564,5585938;0,004300855;606,31438;6216,191406;0,000145404
798;-0,019348515;0,000173186;607,3159;-2649,757813;0,004456024;607,3159;44,76953125;0
797,5999756;-0,020213738;0,001647839;608,31742;-751,40625;0,004141585;608,31742;2398,667969;0,000113515
797,2000122;-0,020430133;0,001016047;609,31894;6270,945313;0,00413363;609,31894;2025,554688;0,00024643
796,7999878;-0,021894284;0,000601722;610,32046;-3248,597656;0,003530848;610,32046;46;0,00024871
796,4000244;-0,019141637;0,000488406;611,32198;3333,640625;0,003659245;611,32198;-357,2070313;0,000147368
796;-0,018936446;0,000328876;612,3235;1746,082031;0,003272001;612,3235;861,5234375;1,09E-05
795,5999756;-0,019641006;0,002549731;613,32502;3220,675781;0,003144753;613,32502;2914,746094;0,000223002
795,2000122;-0,020724513;0,001987978;614,32654;6200;0,00307377;614,32654;2519,511719;0,000121912
794,7999878;-0,02105909;0,001905109;615,32806;12525,17188;0,002714062;615,32806;-1615,695313;0,000300535
794,4000244;-0,018770576;0,001296854;616,32958;10262,74219;0,002837419;616,32958;2161,96875;0,000399547
794;-0,020267451;0,00085207;617,3311;14149,375;0,002817454;617,3311;2606,019531;0,000431767
793,5999756;-0,02000742;0,000980631;618,33262;20799,70703;0,00250546;618,33262;49,26171875;0,000470074
793,2000122;-0,020033425;0,001402512;619,33414;20600,19531;0,002320212;619,33414;6570,222656;0,000529296
792,7999878;-0,019612256;0,001550668;620,33566;29003,80469;0,002299983;620,33566;8806,207031;0,000412445
792,4000244;-0,02098377;0,000844833;621,33718;31120,1875;0,002003459;621,33718;7110,738281;0,000685861
792;-0,019192612;0,00167003;622,3387;45419,57422;0,002086616;622,3387;7185,34375;0,000653248
791,5999756;-0,01828187;-0,000869725;623,34022;46423,66016;0,002286218;623,34022;7736,949219;0,000615614
791,2000122;-0,019945862;0,001814223;624,34174;39479,36328;0,002199639;624,34174;4623,636719;0,000752031
790,7999878;-0,020400347;4,76E-06;625,34326;49914,12891;0,001870322;625,34326;12539,91797;0,000844669
790,4000244;-0,020841429;0,001371194;626,34478;59830,11719;0,001969296;626,34478;4279,722656;0,001117012
790;-0,020061703;0,001368259;627,3463;57990,93359;0,001731487;627,3463;6670,152344;0,000867169
789,5999756;-0,020502882;0,000131961;628,34782;59609,9375;0,001722366;628,34782;15211,35547;0,000933094
789,2000122;-0,018674525;0,002395767;629,34934;77914,07031;0,001722384;629,34934;-910,0664063;0,001294797
788,7999878;-0,020415166;0,000991113;630,35086;78888,5625;0,001496015;630,35086;15183,45703;0,001585912
788,4000244;-0,01840014;0,002395195;631,35238;77858,60938;0,001484523;631,35238;7932,683594;0,001768764
788;-0,020737594;0,001079154;632,3539;90954,89063;0,001237414;632,3539;7012,285156;0,001787681
787,5999756;-0,020019978;0,000735084;633,35542;89463,9375;0,001477382;633,35542;12130,09766;0,002318797
787,2000122;-0,020002032;0,001094257;634,35694;88520,17188;0,000952348;634,35694;22452,11328;0,002253317
786,7999878;-0,019617749;0,002035439;635,35846;85779,0625;0,000830629;635,35846;21697,33594;0,00297102
786,4000244;-0,021301635;0,000371156;636,35998;100841,2109;0,000878593;636,35998;10453,72656;0,003458322
786;-0,020719528;0,000387867;637,3615;98340,9375;0,000463702;637,3615;25723,85547;0,003869541
785,5999756;-0,021382272;0,001495727;638,36302;103380,9219;0,00058222;638,36302;33096,87109;0,00449308
785,2000122;-0,021923967;0,00052881;639,36454;94702,35938;0,00051733;639,36454;34547,30469;0,004594571
784,7999878;-0,020440752;0,001367065;640,36606;85015,14063;0,000423422;640,36606;56263,25;0,005581219
784,4000244;-0,020465743;0,000946775;641,36758;94380,42188;7,89E-05;641,36758;44377,17578;0,006315059
784;-0,019672675;0,001457597;642,3691;100844,2969;0;642,3691;63890,75391;0,008493909
783,5999756;-0,021361375;0,002339678;643,37062;89239,48438;0,000278416;643,37062;64436,80469;0,009095675
783,2000122;-0,01949887;0,000509735;644,37214;106590,0781;4,00E-05;644,37214;75914,03125;0,010182039
782,7999878;-0,020726142;0,00138854;645,37366;99193,64063;0,000101116;645,37366;112125,2813;0,012757158
782,4000244;-0,020356976;0,000706511;646,37518;105484,0781;0,000129017;646,37518;110899,1719;0,014359737
782;-0,021599563;0,001373037;647,3767;101177,6094;0,000353989;647,3767;128993,5;0,017232867
781,5999756;-0,019515352;0,001538744;648,37822;101935,3984;0,000326976;648,37822;136578;0,018733626
781,2000122;-0,019854918;0,000295926;649,37974;94195,46875;0,000503418;649,37974;177177,0625;0,021232599
780,7999878;-0,019725317;0,00132126;650,38126;102545,8359;0,000435035;650,38126;191017,9688;0,024698239
780,4000244;-0,019525796;0,002593868;651,38278;116124,0781;0,000622203;651,38278;226321,5;0,027341917
780;-0,021034872;0,00276804;652,3843;98833,11719;0,000827074;652,3843;278326,375;0,032676001
779,5999756;-0,018873546;-1,62E-05;653,38582;107792,9453;0,000483379;653,38582;274074,4063;0,035457948
779,2000122;-0,019591423;0,001967773;654,38734;100575,7031;0,000523844;654,38734;330520,1875;0,041100244
778,7999878;-0,019091353;0,000905762;655,38886;101597,5781;0,000530888;655,38886;351154,1875;0,045542098
778,4000244;-0,019985123;0,001448559;656,39038;124873,9531;0,000498756;656,39038;423781,1563;0,051096596
778;-0,020354556;0,002197548;657,3919;104824,4375;0,000195375;657,3919;488645,3438;0,056545126
777,5999756;-0,020438826;0,000738948;658,39342;99016,65625;0,000188243;658,39342;483508,4375;0,064910949
777,2000122;-0,02041818;0,000118626;659,39494;96031,96094;0,000186871;659,39494;591370,25;0,073147129
776,7999878;-0,020660095;0,000192039;660,39646;111791,1797;0,000242049;660,39646;633309,9375;0,083395994
776,4000244;-0,020472806;0,002277741;661,39798;109415,6563;0,000639384;661,39798;705113,1875;0,095607231
776;-0,019614385;0,001366571;662,3995;114937,0156;0,000850164;662,3995;822968,625;0,110809316
775,5999756;-0,01941902;0,000458398;663,40102;109299,8125;0,000759069;663,40102;950471,5625;0,125100228
775,2000122;-0,020809995;0,000944155;664,40254;98070,89063;0,001034006;664,40254;1139426,625;0,144235159
774,7999878;-0,020211317;0,000661994;665,40406;114047,2188;0,001407447;665,40406;1215567,375;0,164920347
774,4000244;-0,020794548;0,00152986;666,40558;112575,3047;0,002622619;666,40558;1408168,75;0,187128341
774;-0,019517975;0,001094413;667,4071;127445,4063;0,004150979;667,4071;1592289,625;0,218381499
773,5999756;-0,019928604;0,002136542;668,40862;158412,9688;0,005830285;668,40862;1824314;0,247936544
773,2000122;-0,019759947;0,000849606;669,41014;189088,7656;0,007834459;669,41014;2109664;0,283526696
772,7999878;-0,02129562;0,00250841;670,41166;213110,6875;0,011475989;670,41166;2371587,5;0,318285752
772,4000244;-0,019520352;0,001529652;671,41318;276934,1875;0,016804402;671,41318;2705507,25;0,362905549
772;-0,020290675;0,000906411;672,4147;365347,1875;0,022724904;672,4147;2967050,75;0,403795489
771,5999756;-0,019640908;0,00196499;673,41622;557407,4375;0,034384198;673,41622;3245688;0,447350235
771,2000122;-0,02100577;0,000493952;674,41774;750089,0625;0,049585484;674,41774;3585172,75;0,501576806
770,7999878;-0,019514164;0,0003181;675,41926;1034334,188;0,071897492;675,41926;4179055,5;0,555666682
770,4000244;-0,020305496;0,000623678;676,42078;1449585,375;0,099029282;676,42078;4531797;0,610236289
770;-0,020918945;0,000546641;677,4223;1895336,375;0,136123273;677,4223;5013122,5;0,675257321
769,5999756;-0,01964739;0,000842525;678,42382;2506319,5;0,184955961;678,42382;5570690,5;0,7310208
