Wavelength (nm),Unnamed: 1,Unnamed: 2,Unnamed: 3,THYLTHA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,THYRTHA,Unnamed: 10,Unnamed: 11,Unnamed: 12,Wavelength (nm)2,Abs
602.3083,,,,1029.421875,,,,,-516.5214844,,,,800.0,-518238.0
603.30982,,,,4766.445313,,,,,3989.132813,,,,7995999756.0,-3437477.0
604.31134,,,,3677.460938,,,,,5542.638672,,,,7992000122.0,-2398173.0
605.31286,,,,675.3984375,,,,,618.1074219,,,,7987999878.0,-866005.0
606.31438,,,,-849.03125,,,,,4861.59375,,,,7984000244.0,-915811.0
607.3159,,,,3642.984375,,,,,7235.507813,,,,798.0,-2657538.0
608.31742,,,,-1374.414063,,,,,-150.8613281,,,,7975999756.0,-309562.0
609.31894,,,,6322.398438,,,,,2223.021484,,,,7972000122.0,-3069043.0
610.32046,,,,7567.085938,,,,,7070.902344,,,,7967999878.0,-2751126.0
611.32198,,,,6434.398438,,,,,-558.7753906,,,,7964000244.0,-404978.0
612.3235,,,,19657.01563,,,,,4309.158203,,,,796.0,-868692.0
613.32502,,,,17643.99219,,,,,3939.306641,,,,7955999756.0,-1556733.0
614.32654,,,,20429.29688,,,,,-3889.912109,,,,7952000122.0,-2517606.0
615.32806,,,,27805.28906,,,,,676.5839844,,,,7947999878.0,-1646742.0
616.32958,,,,39763.875,,,,,5751.732422,,,,7944000244.0,-189403.0
617.3311,,,,48169.98438,,,,,-1017.373047,,,,794.0,-2753441.0
618.33262,,,,57039.54688,,,,,1549.486328,,,,7935999756.0,-2638601.0
619.33414,,,,61407.03125,,,,,3750.111328,,,,7932000122.0,-2198564.0
620.33566,,,,82425.60156,,,,,3790.207031,,,,7927999878.0,-2762907.0
621.33718,,,,94251.14844,,,,,5594.992188,,,,7924000244.0,-2463814.0
622.3387,,,,111294.2031,,,,,-622.5664063,,,,792.0,-2605615.0
623.34022,,,,119511.2031,,,,,1638.523438,,,,7915999756.0,-1186853.0
624.34174,,,,142998.2031,,,,,4854.447266,,,,7912000122.0,-2059618.0
625.34326,,,,154556.0781,,,,,9920.992188,,,,7907999878.0,-2506694.0
626.34478,,,,163203.2656,,,,,7292.109375,,,,7904000244.0,-228808.0
627.3463,,,,178784.2813,,,,,9223.806641,,,,790.0,-2686815.0
628.34782,,,,186576.2188,,,,,-1134.998047,,,,7895999756.0,-1443382.0
629.34934,,,,202072.7813,,,,,296.46875,,,,7892000122.0,-1273687.0
630.35086,,,,225207.1094,,,,,-1162.40625,,,,7887999878.0,-295295.0
631.35238,,,,236606.5156,,,,,11606.90625,,,,7884000244.0,-110057.0
632.3539,,,,224807.7188,,,,,6266.382813,,,,788.0,-666104.0
633.35542,,,,246255.0313,,,,,7361.875,,,,7875999756.0,-244178.0
634.35694,,,,249916.4375,,,,,2349.503906,,,,7872000122.0,-1458913.0
635.35846,,,,248265.625,,,,,1346.15625,,,,7867999878.0,-1846811.0
636.35998,,,,249338.1406,,,,,841.9492188,,,,7864000244.0,-3181559.0
637.3615,,,,262912.6875,,,,,17232.32031,,,,786.0,-270611.0
638.36302,,,,264785.3125,,,,,14236.26953,,,,7855999756.0,-2342564.0
639.36454,,,,259365.5313,,,,,19743.27344,,,,7852000122.0,-2856679.0
640.36606,,,,255222.8125,,,,,19987.9043,,,,7847999878.0,-2377372.0
641.36758,,,,251581.2188,,,,,24264.03125,,,,7844000244.0,-1525986.0
642.3691,,,,275246.7188,,,,,34622.16406,,,,784.0,-2838574.0
643.37062,,,,273429.5,,,,,36319.35938,,,,7835999756.0,-260896.0
644.37214,,,,270053.625,,,,,28197.02148,,,,7832000122.0,-1864441.0
645.37366,,,,268531.9063,,,,,40875.54688,,,,7827999878.0,-2958812.0
646.37518,,,,289215.6563,,,,,54775.98828,,,,7824000244.0,-295732.0
647.3767,,,,279157.4688,,,,,57248.34375,,,,782.0,-1917741.0
648.37822,,,,293731.7188,,,,,79579.6875,,,,7815999756.0,-1787212.0
649.37974,,,,287744.1563,,,,,66164.86719,,,,7812000122.0,-2211493.0
650.38126,,,,282608.25,,,,,92309.875,,,,7807999878.0,-2361616.0
651.38278,,,,285387.5313,,,,,84687.71875,,,,7804000244.0,-998826.0
652.3843,,,,293434.25,,,,,106632.8047,,,,780.0,-2360534.0
653.38582,,,,275029.2188,,,,,116303.5,,,,7795999756.0,-611255.0
654.38734,,,,267238.4688,,,,,113985.4141,,,,7792000122.0,-1470987.0
655.38886,,,,266297.4063,,,,,150612.0313,,,,7787999878.0,-558829.0
656.39038,,,,262363.125,,,,,148657.7969,,,,7784000244.0,-1252213.0
657.3919,,,,259284.2344,,,,,172633.0,,,,778.0,-2142929.0
658.39342,,,,289154.3438,,,,,182676.9375,,,,7775999756.0,-2172138.0
659.39494,,,,261257.2813,,,,,226920.625,,,,7772000122.0,-1776488.0
660.39646,,,,247797.2031,,,,,265986.1875,,,,7767999878.0,-1798349.0
661.39798,,,,258438.2813,,,,,283709.1563,,,,7764000244.0,-2484714.0
662.3995,,,,242163.9219,,,,,333852.9688,,,,776.0,-1230944.0
663.40102,,,,269490.0,,,,,367192.3438,,,,7755999756.0,-2020507.0
664.40254,,,,261691.2188,,,,,385402.0938,,,,7752000122.0,-1786233.0
665.40406,,,,246795.4375,,,,,474988.5,,,,7747999878.0,-837742.0
666.40558,,,,277779.0938,,,,,547442.375,,,,7744000244.0,-2491972.0
667.4071,,,,293811.4063,,,,,650400.5,,,,774.0,-1824076.0
668.40862,,,,310266.2188,,,,,723445.875,,,,7735999756.0,-674065.0
669.41014,,,,341072.6875,,,,,824573.125,,,,7732000122.0,-1624977.0
670.41166,,,,416072.375,,,,,912145.8125,,,,7727999878.0,-2347867.0
671.41318,,,,450739.375,,,,,1010341.0,,,,7724000244.0,-461147.0
672.4147,,,,588678.375,,,,,1111708.875,,,,772.0,-1524387.0
673.41622,,,,754672.5625,,,,,1228665.125,,,,7715999756.0,-2092955.0
674.41774,,,,970761.3125,,,,,1492711.5,,,,7712000122.0,-1777158.0
675.41926,,,,1309366.5,,,,,1599746.5,,,,7707999878.0,-1277043.0
676.42078,,,,1798078.625,,,,,1738061.5,,,,7704000244.0,-1437087.0
677.4223,,,,2353627.75,,,,,1921788.875,,,,770.0,-1491522.0
678.42382,,,,3072709.5,,,,,2039065.125,,,,7695999756.0,-1487085.0
679.42534,,,,3893783.5,,,,,2329937.25,,,,7692000122.0,-2320421.0
680.42686,,,,4651867.5,,,,,2472545.0,,,,7687999878.0,-2640968.0
681.42838,,,,5434991.5,,,,,2675710.25,,,,7684000244.0,-2099653.0
682.4299,,,,6578954.5,,,,,2779556.75,,,,768.0,-2276338.0
683.43142,,,,7554236.5,,,,,2865580.25,,,,7675999756.0,-1642719.0
684.43294,,,,8603477.0,,,,,2936824.25,,,,7672000122.0,-1136614.0
685.43446,,,,9227645.0,,,,,3016598.5,,,,7667999878.0,-1937946.0
686.43598,,,,9733276.0,,,,,2910544.75,,,,7664000244.0,-3111246.0
687.4375,,,,9228940.0,,,,,2754365.25,,,,766.0,-1176527.0
688.43902,,,,8664324.0,,,,,2615846.0,,,,7655999756.0,-2048385.0
689.44054,,,,8318288.5,,,,,2536841.25,,,,7652000122.0,-76157.0
690.44206,,,,7762137.0,,,,,2157961.25,,,,7647999878.0,-1834954.0
691.44358,,,,7363501.0,,,,,2061539.125,,,,7644000244.0,-2747782.0
692.4451,,,,7540550.0,,,,,1895035.0,,,,764.0,-1608265.0
693.44662,,,,7385310.5,,,,,1670798.75,,,,7635999756.0,-1169299.0
694.44814,,,,7414798.5,,,,,1484075.25,,,,7632000122.0,-764154.0
