Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
350;0,170911446;750;-0,007677491
350,3999939;0,171578005;749,5999756;-0,007586027
350,7999878;0,171516597;749,2000122;-0,00759259
351,1999817;0,171510026;748,7999878;-0,007603833
351,6000061;0,171808824;748,4000244;-0,007768988
352;0,17262283;748;-0,007578752
352,3999939;0,172889754;747,5999756;-0,007702262
352,7999878;0,173561588;747,2000122;-0,007690309
353,1999817;0,173969388;746,7999878;-0,007650787
353,6000061;0,174075976;746,4000244;-0,007552957
354;0,174699023;746;-0,007649159
354,3999939;0,175484538;745,5999756;-0,007638629
354,7999878;0,176107824;745,2000122;-0,00766391
355,1999817;0,176646501;744,7999878;-0,007481873
355,6000061;0,177069366;744,4000244;-0,007540898
356;0,17752032;744;-0,007894477
356,3999939;0,178016409;743,5999756;-0,007782311
356,7999878;0,178663701;743,2000122;-0,007690258
357,1999817;0,179426581;742,7999878;-0,007671947
357,6000061;0,180167168;742,4000244;-0,007635322
358;0,180923626;742;-0,007760342
358,3999939;0,181836978;741,5999756;-0,007510928
358,7999878;0,182034269;741,2000122;-0,007756986
359,1999817;0,182784125;740,7999878;-0,00774478
359,6000061;0,183518663;740,4000244;-0,007528636
360;0,184497282;740;-0,007599356
360,3999939;0,185132533;739,5999756;-0,007489658
360,7999878;0,185917348;739,2000122;-0,007645496
361,1999817;0,18653819;738,7999878;-0,007599255
361,6000061;0,187225714;738,4000244;-0,007632881
362;0,187908217;738;-0,007538151
362,3999939;0,188759089;737,5999756;-0,007473578
362,7999878;0,189795315;737,2000122;-0,007466453
363,1999817;0,190428466;736,7999878;-0,007412252
363,6000061;0,191208601;736,4000244;-0,007262084
364;0,192187235;736;-0,007365578
364,3999939;0,193042129;735,5999756;-0,007345319
364,7999878;0,193980679;735,2000122;-0,007329335
365,1999817;0,194910839;734,7999878;-0,007349239
365,6000061;0,195450187;734,4000244;-0,007169412
366;0,196382284;734;-0,007025425
366,3999939;0,197364137;733,5999756;-0,007134476
366,7999878;0,198316038;733,2000122;-0,007063476
367,1999817;0,199140713;732,7999878;-0,007078655
367,6000061;0,199965566;732,4000244;-0,006975092
368;0,201218411;732;-0,007045954
368,3999939;0,202180684;731,5999756;-0,006847706
368,7999878;0,203311727;731,2000122;-0,006777984
369,1999817;0,204187214;730,7999878;-0,006762336
369,6000061;0,205363631;730,4000244;-0,006651712
370;0,206143633;730;-0,006505769
370,3999939;0,207166925;729,5999756;-0,006319673
370,7999878;0,208241552;729,2000122;-0,006293701
371,1999817;0,20905833;728,7999878;-0,00628722
371,6000061;0,210106716;728,4000244;-0,006195514
372;0,211172953;728;-0,006106187
372,3999939;0,211904347;727,5999756;-0,005973082
372,7999878;0,213014662;727,2000122;-0,005921145
373,1999817;0,214005232;726,7999878;-0,005691112
373,6000061;0,21483025;726,4000244;-0,005789056
374;0,215797827;726;-0,0054925
374,3999939;0,216401547;725,5999756;-0,005576536
374,7999878;0,217038766;725,2000122;-0,005483759
375,1999817;0,218026459;724,7999878;-0,005347036
375,6000061;0,218491599;724,4000244;-0,005019115
376;0,219063342;724;-0,00507382
376,3999939;0,219594106;723,5999756;-0,005125908
376,7999878;0,220132873;723,2000122;-0,00497423
377,1999817;0,220492184;722,7999878;-0,004833507
377,6000061;0,220834494;722,4000244;-0,004471533
378;0,221312836;722;-0,004558328
378,3999939;0,221702889;721,5999756;-0,004476555
378,7999878;0,222072795;721,2000122;-0,00424191
379,1999817;0,222290531;720,7999878;-0,004015295
379,6000061;0,222779557;720,4000244;-0,003814273
380;0,222819328;720;-0,003738621
380,3999939;0,223139301;719,5999756;-0,00352833
