Wavelength (nm);Abs_Eva;Abs_Jasmijn;Abs_Mads;Abs_Koen;Abs_Nicco;Abs_model
800;-0,000741104;-0,012785387;-0,000518238;-0,019468872;-0,000108966;0,001335126
799,5999756;-0,001708887;-0,016404687;-0,003437477;-0,021547344;-0,001098556;0,00103722
799,2000122;-0,002096252;-0,014935534;-0,002398173;-0,021238681;-0,000550556;0,000922987
798,7999878;-0,000808442;-0,012793581;-0,000866005;-0,018930795;-0,000276374;0,001516975
798,4000244;-0,000192031;-0,012593665;-0,000915811;-0,018655233;0,00055859;0,001071343
798;-0,002665668;-0,01313819;-0,002657538;-0,019348515;-0,000232187;0,000173186
797,5999756;-0,000580907;-0,013181787;-0,00309562;-0,020213738;0,000699692;0,001647839
797,2000122;-0,001998142;-0,014545839;-0,003069043;-0,020430133;-0,00043927;0,001016047
796,7999878;-0,002936495;-0,014386549;-0,002751126;-0,021894284;-0,001497559;0,000601722
796,4000244;-7,15E-05;-0,012685188;-0,000404978;-0,019141637;-0,001168524;0,000488406
796;-0,0009871;-0,014111444;-0,000868692;-0,018936446;-0,000878251;0,000328876
795,5999756;-0,000788754;-0,012225924;-0,001556733;-0,019641006;0,000160264;0,002549731
795,2000122;-0,001768187;-0,015349817;-0,002517606;-0,020724513;0,000133048;0,001987978
794,7999878;-0,001994792;-0,01443678;-0,001646742;-0,02105909;0,000546434;0,001905109
794,4000244;-0,000833401;-0,013426058;-0,00189403;-0,018770576;0,000608176;0,001296854
794;-0,001979228;-0,013900451;-0,002753441;-0,020267451;-4,77E-05;0,00085207
793,5999756;-0,002674775;-0,015173222;-0,002638601;-0,02000742;-0,000131895;0,000980631
793,2000122;-0,00082689;-0,014349484;-0,002198564;-0,020033425;-0,00137867;0,001402512
792,7999878;-0,001096232;-0,014379636;-0,002762907;-0,019612256;0,000650172;0,001550668
792,4000244;-0,001511231;-0,01436992;-0,002463814;-0,02098377;0,000979204;0,000844833
792;-0,000423185;-0,013426058;-0,002605615;-0,019192612;0,000287688;0,00167003
791,5999756;-0,00069929;-0,012495032;-0,001186853;-0,01828187;-0,001514791;-0,000869725
791,2000122;-0,001602023;-0,012995666;-0,002059618;-0,019945862;-0,000207142;0,001814223
790,7999878;-0,002096819;-0,013425958;-0,002506694;-0,020400347;-0,000960859;4,76E-06
790,4000244;-0,001212255;-0,013705409;-0,00228808;-0,020841429;0,00074862;0,001371194
790;-0,003151647;-0,014345527;-0,002686815;-0,020061703;-0,000374098;0,001368259
789,5999756;-0,001282514;-0,012914662;-0,001443382;-0,020502882;-0,000185407;0,000131961
789,2000122;-0,001415826;-0,013214231;-0,001273687;-0,018674525;0,000105912;0,002395767
788,7999878;-0,002725814;-0,014053807;-0,00295295;-0,020415166;-0,000123044;0,000991113
788,4000244;-0,000401358;-0,012256174;-0,00110057;-0,01840014;0,00120485;0,002395195
788;-0,001073354;-0,012965819;-0,000666104;-0,020737594;0,001087354;0,001079154
787,5999756;-0,001245708;-0,013648018;-0,00244178;-0,020019978;-0,00059104;0,000735084
787,2000122;-0,000702546;-0,013532761;-0,001458913;-0,020002032;-0,000251591;0,001094257
786,7999878;-0,001122155;-0,013639991;-0,001846811;-0,019617749;0,000173367;0,002035439
786,4000244;-0,0028916;-0,014155845;-0,003181559;-0,021301635;-0,000872774;0,000371156
