Wavelength (nm);Abs_HP;Wavelength (nm);Abs_AT
750;-0,007677491;800;-6,25E-04
749,5999756;-0,007586027;799,5999756;-5,25E-04
749,2000122;-0,00759259;799,2000122;-3,85E-04
748,7999878;-0,007603833;798,7999878;-7,42E-04
748,4000244;-0,007768988;798,4000244;-5,35E-04
748;-0,007578752;798;-7,99E-04
747,5999756;-0,007702262;797,5999756;-4,58E-04
747,2000122;-0,007690309;797,2000122;-5,28E-04
746,7999878;-0,007650787;796,7999878;-5,39E-04
746,4000244;-0,007552957;796,4000244;-2,74E-04
746;-0,007649159;796;-6,79E-04
745,5999756;-0,007638629;795,5999756;-5,63E-04
745,2000122;-0,00766391;795,2000122;-5,98E-04
744,7999878;-0,007481873;794,7999878;-8,39E-04
744,4000244;-0,007540898;794,4000244;-6,72E-04
744;-0,007894477;794;-8,70E-04
743,5999756;-0,007782311;793,5999756;-7,37E-04
743,2000122;-0,007690258;793,2000122;-6,48E-04
742,7999878;-0,007671947;792,7999878;-5,77E-04
742,4000244;-0,007635322;792,4000244;-7,17E-04
742;-0,007760342;792;-7,60E-04
741,5999756;-0,007510928;791,5999756;-6,40E-04
741,2000122;-0,007756986;791,2000122;-6,30E-04
740,7999878;-0,00774478;790,7999878;-9,31E-04
740,4000244;-0,007528636;790,4000244;-5,06E-04
740;-0,007599356;790;-8,21E-04
739,5999756;-0,007489658;789,5999756;-8,02E-04
739,2000122;-0,007645496;789,2000122;-7,17E-04
738,7999878;-0,007599255;788,7999878;-6,34E-04
738,4000244;-0,007632881;788,4000244;-0,001020209
738;-0,007538151;788;-9,87E-04
737,5999756;-0,007473578;787,5999756;-8,21E-04
737,2000122;-0,007466453;787,2000122;-5,70E-04
736,7999878;-0,007412252;786,7999878;-5,52E-04
736,4000244;-0,007262084;786,4000244;-6,57E-04
736;-0,007365578;786;-8,02E-04
735,5999756;-0,007345319;785,5999756;-5,96E-04
735,2000122;-0,007329335;785,2000122;-0,00106034
734,7999878;-0,007349239;784,7999878;-9,16E-04
734,4000244;-0,007169412;784,4000244;-7,81E-04
734;-0,007025425;784;-0,00106473
733,5999756;-0,007134476;783,5999756;-0,001244263
733,2000122;-0,007063476;783,2000122;-6,67E-04
732,7999878;-0,007078655;782,7999878;-0,001275494
732,4000244;-0,006975092;782,4000244;-0,001107438
732;-0,007045954;782;-0,001080894
731,5999756;-0,006847706;781,5999756;-4,14E-04
731,2000122;-0,006777984;781,2000122;-5,30E-04
730,7999878;-0,006762336;780,7999878;-8,57E-04
730,4000244;-0,006651712;780,4000244;-0,001213391
730;-0,006505769;780;-0,001216798
729,5999756;-0,006319673;779,5999756;-0,001263673
729,2000122;-0,006293701;779,2000122;-0,001096181
728,7999878;-0,00628722;778,7999878;-0,001187008
728,4000244;-0,006195514;778,4000244;-0,001019021
728;-0,006106187;778;-9,43E-04
727,5999756;-0,005973082;777,5999756;-0,001240288
727,2000122;-0,005921145;777,2000122;-0,001347653
726,7999878;-0,005691112;776,7999878;-0,001167698
726,4000244;-0,005789056;776,4000244;-0,001108677
726;-0,0054925;776;-0,001183394
725,5999756;-0,005576536;775,5999756;-0,001372168
725,2000122;-0,005483759;775,2000122;-0,001440853
724,7999878;-0,005347036;774,7999878;-9,35E-04
724,4000244;-0,005019115;774,4000244;-0,001047583
724;-0,00507382;774;-6,24E-04
723,5999756;-0,005125908;773,5999756;-7,78E-04
723,2000122;-0,00497423;773,2000122;-0,001172758
722,7999878;-0,004833507;772,7999878;-0,001340531
722,4000244;-0,004471533;772,4000244;-9,33E-04
722;-0,004558328;772;-0,001110795
721,5999756;-0,004476555;771,5999756;-0,001012823
721,2000122;-0,00424191;771,2000122;-7,94E-04
720,7999878;-0,004015295;770,7999878;-0,001056208
720,4000244;-0,003814273;770,4000244;-0,001198005
720;-0,003738621;770;-0,00115954
719,5999756;-0,00352833;769,5999756;-0,00120766
719,2000122;-0,003390888;769,2000122;-0,001107077
718,7999878;-0,003214244;768,7999878;-0,001027595
718,4000244;-0,002938037;768,4000244;-0,001288192
718;-0,002732297;768;-0,0012725
717,5999756;-0,002785336;767,5999756;-0,00117219
717,2000122;-0,002453569;767,2000122;-0,001324479
716,7999878;-0,002134532;766,7999878;-8,79E-04
716,4000244;-0,001974796;766,4000244;-0,001244418
716;-0,001796132;766;-0,001176166
715,5999756;-0,001398075;765,5999756;-0,001033328
715,2000122;-0,001225936;765,2000122;-8,48E-04
714,7999878;-0,001163051;764,7999878;-0,001036892
714,4000244;-0,000894577;764,4000244;-0,0011915
714;-0,000533338;764;-0,001136201
713,5999756;-0,000370012;763,5999756;-8,61E-04
713,2000122;-5,38E-05;763,2000122;-0,001173016
712,7999878;0,000193826;762,7999878;-0,001221857
712,4000244;0,000481979;762,4000244;-0,001217056
712;0,000697228;762;-9,31E-04
711,5999756;0,001046691;761,5999756;-0,001030901
711,2000122;0,001418873;761,2000122;-8,36E-04
710,7999878;0,001650022;760,7999878;-0,001079603
710,4000244;0,002052968;760,4000244;-0,001121536
710;0,002498438;760;-6,78E-04
709,5999756;0,002845003;759,5999756;-8,77E-04
709,2000122;0,003276211;759,2000122;-8,44E-04
708,7999878;0,003779833;758,7999878;-6,50E-04
708,4000244;0,004229117;758,4000244;-9,61E-04
708;0,004631875;758;-0,001119728
707,5999756;0,004957707;757,5999756;-0,001034981
707,2000122;0,005735571;757,2000122;-8,02E-04
706,7999878;0,006249566;756,7999878;-8,65E-04
706,4000244;0,006740165;756,4000244;-9,25E-04
706;0,007278883;756;-7,64E-04
705,5999756;0,007907943;755,5999756;-8,35E-04
705,2000122;0,008549374;755,2000122;-6,87E-04
704,7999878;0,009095761;754,7999878;-5,16E-04
704,4000244;0,009817184;754,4000244;-6,03E-04
704;0,010866016;754;-6,35E-04
703,5999756;0,011518957;753,5999756;-9,66E-04
703,2000122;0,012495099;753,2000122;-7,15E-04
702,7999878;0,013284779;752,7999878;-5,00E-04
702,4000244;0,014155292;752,4000244;-4,00E-04
702;0,015046339;752;-3,31E-04
701,5999756;0,01615547;751,5999756;-1,77E-04
701,2000122;0,017221896;751,2000122;-5,68E-04
700,7999878;0,018430611;750,7999878;-3,61E-04
700,4000244;0,019640747;750,4000244;-3,24E-04
700;0,020969057;750;-2,14E-04
699,5999756;0,022405086;749,5999756;-3,52E-04
699,2000122;0,023808332;749,2000122;-2,40E-04
698,7999878;0,0255742;748,7999878;-3,83E-04
698,4000244;0,027055508;748,4000244;-7,45E-05
698;0,02877311;748;-5,23E-05
697,5999756;0,030773949;747,5999756;1,47E-04
697,2000122;0,032705139;747,2000122;1,90E-05
696,7999878;0,034751225;746,7999878;7,72E-05
696,4000244;0,037382942;746,4000244;-3,05E-05
696;0,039756108;746;-8,35E-05
695,5999756;0,04233218;745,5999756;2,85E-05
695,2000122;0,045042288;745,2000122;4,12E-04
694,7999878;0,048237715;744,7999878;5,07E-04
694,4000244;0,051282946;744,4000244;4,95E-04
694;0,054609418;744;7,26E-04
693,5999756;0,058373511;743,5999756;4,41E-04
693,2000122;0,062085722;743,2000122;3,28E-04
692,7999878;0,066331558;742,7999878;5,69E-04
692,4000244;0,070619255;742,4000244;7,39E-04
692;0,075186878;742;0,001114422
691,5999756;0,080392979;741,5999756;0,001041968
691,2000122;0,085638501;741,2000122;9,05E-04
690,7999878;0,091224708;740,7999878;0,001201968
690,4000244;0,097405747;740,4000244;0,001487389
690;0,104050398;740;0,00172962
689,5999756;0,110966809;739,5999756;0,001508637
689,2000122;0,118140996;739,2000122;0,001410277
688,7999878;0,125956416;738,7999878;0,001880019
688,4000244;0,134339437;738,4000244;0,001994505
688;0,142934158;738;0,00217416
687,5999756;0,152168527;737,5999756;0,002328149
687,2000122;0,162041247;737,2000122;0,002399958
686,7999878;0,172282338;736,7999878;0,002607931
686,4000244;0,182740599;736,4000244;0,002500026
686;0,193303272;736;0,00251268
685,5999756;0,204635143;735,5999756;0,002672103
685,2000122;0,216163278;735,2000122;0,002964278
684,7999878;0,227884725;734,7999878;0,003172365
684,4000244;0,239614844;734,4000244;0,003344603
684;0,251293719;734;0,003603428
683,5999756;0,262800634;733,5999756;0,003907096
683,2000122;0,274052173;733,2000122;0,004107011
682,7999878;0,285086185;732,7999878;0,004453162
682,4000244;0,295570105;732,4000244;0,004711367
682;0,305320948;732;0,005082278
681,5999756;0,314821929;731,5999756;0,005118501
681,2000122;0,323580951;731,2000122;0,005257739
680,7999878;0,331256777;730,7999878;0,005941107
