Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
602,3083;274,328125;2512,8125;1029,421875;-5081,0625;0,005623602;1763,9375
603,30982;-217,0898438;3999,71875;4766,445313;6777,75;0,005312081;-1062,375
604,31134;1636,652344;13389,875;3677,460938;-2166,15625;0,004993302;1786,09375
605,31286;1474,660156;10859,53125;675,3984375;4237,8125;0,004694658;-3608,03125
606,31438;-564,5585938;-3079,125;-849,03125;1636,71875;0,004300855;4042,09375
607,3159;-2649,757813;4169,03125;3642,984375;-4926,78125;0,004456024;2879,0625
608,31742;-751,40625;2253,46875;-1374,414063;8228,40625;0,004141585;4809,09375
609,31894;6270,945313;8933,46875;6322,398438;11462,59375;0,00413363;10643,65625
610,32046;-3248,597656;5439,78125;7567,085938;-313,9375;0,003530848;11585,875
611,32198;3333,640625;13852,65625;6434,398438;14436,1875;0,003659245;13477,28125
612,3235;1746,082031;23169,90625;19657,01563;27850,0625;0,003272001;17872,03125
613,32502;3220,675781;24559,875;17643,99219;43880,96875;0,003144753;24583,1875
614,32654;6200;17881,875;20429,29688;62382,3125;0,00307377;30475,65625
615,32806;12525,17188;41073,625;27805,28906;65807,5;0,002714062;38716,34375
616,32958;10262,74219;44112,65625;39763,875;91220,34375;0,002837419;54301,40625
617,3311;14149,375;63344,125;48169,98438;116929,375;0,002817454;63906,46875
618,33262;20799,70703;83581,9375;57039,54688;146131,0938;0,00250546;80004,5625
619,33414;20600,19531;86628,28125;61407,03125;169788,2188;0,002320212;90806,75
620,33566;29003,80469;100552,875;82425,60156;190429,4688;0,002299983;111330,75
621,33718;31120,1875;125430,75;94251,14844;233163;0,002003459;139893,5313
622,3387;45419,57422;149717,125;111294,2031;256889,25;0,002086616;143120,9063
623,34022;46423,66016;165314,8125;119511,2031;301039,8438;0,002286218;175486,5938
624,34174;39479,36328;195178;142998,2031;343943,125;0,002199639;197301,4375
625,34326;49914,12891;215460,5625;154556,0781;383106,0938;0,001870322;207780,8125
626,34478;59830,11719;243441,1875;163203,2656;422834,0938;0,001969296;229559,1875
627,3463;57990,93359;203069,75;178784,2813;431295,625;0,001731487;227223,7813
628,34782;59609,9375;242766,125;186576,2188;465623,3125;0,001722366;263669,375
629,34934;77914,07031;267488,875;202072,7813;535290,625;0,001722384;277006,7188
630,35086;78888,5625;266849,375;225207,1094;529766,4375;0,001496015;295798,5938
631,35238;77858,60938;306302;236606,5156;543315,75;0,001484523;306144,0625
632,3539;90954,89063;319422,8438;224807,7188;577398,75;0,001237414;314825,8438
633,35542;89463,9375;291236,1563;246255,0313;613626,25;0,001477382;314766,3438
634,35694;88520,17188;339116,4063;249916,4375;580887,75;0,000952348;341656,3438
635,35846;85779,0625;301623,1563;248265,625;604873,375;0,000830629;336190,6563
636,35998;100841,2109;304291,25;249338,1406;624119,375;0,000878593;360432,3125
637,3615;98340,9375;344183,9063;262912,6875;630917,875;0,000463702;348043,6563
638,36302;103380,9219;345130,25;264785,3125;591186,1875;0,00058222;353759,125
639,36454;94702,35938;390408,5938;259365,5313;595176;0,00051733;341987,5625
640,36606;85015,14063;342385,75;255222,8125;643137,6875;0,000423422;347251,6875
641,36758;94380,42188;385947,4375;251581,2188;617454,875;7,89E-05;357058,8438
642,3691;100844,2969;352095,9688;275246,7188;600088,25;0;356079,4375
643,37062;89239,48438;346009,3125;273429,5;623848,5;0,000278416;348206,5938
644,37214;106590,0781;347763,125;270053,625;678536,6875;4,00E-05;351133,875
645,37366;99193,64063;347671,1563;268531,9063;646194,75;0,000101116;355291,0625
646,37518;105484,0781;350177,625;289215,6563;671396,4375;0,000129017;382606,875
647,3767;101177,6094;350374,625;279157,4688;684175;0,000353989;365192,625
648,37822;101935,3984;361861,875;293731,7188;661651,875;0,000326976;397244,2188
649,37974;94195,46875;369538,2188;287744,1563;680662,375;0,000503418;380930,3125
650,38126;102545,8359;402812,75;282608,25;668854,375;0,000435035;386847,3438
651,38278;116124,0781;427265,2188;285387,5313;632438,625;0,000622203;384929,5313
