Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
602,3083;-3320,9375;-1783,710938;-516,5214844;4895,554688;7,41E-05;1,79E-05
603,30982;2682,324219;3846,839844;3989,132813;6438,875;0,00028083;2,31E-05
604,31134;4961,625;3904,917969;5542,638672;-305,8398438;7,94E-05;0,000106414
605,31286;-1488,488281;473,3710938;618,1074219;3493,658203;0,000142807;9,71E-05
606,31438;6216,191406;9379,390625;4861,59375;3139,494141;0,000145404;7,81E-05
607,3159;44,76953125;2435,441406;7235,507813;7041,488281;0;0,000161162
608,31742;2398,667969;875,2929688;-150,8613281;465,0058594;0,000113515;0
609,31894;2025,554688;2875,613281;2223,021484;1259,214844;0,00024643;4,47E-05
610,32046;46;8511,148438;7070,902344;6461,001953;0,00024871;7,03E-05
611,32198;-357,2070313;93,21484375;-558,7753906;3687,638672;0,000147368;5,99E-05
612,3235;861,5234375;2130,0625;4309,158203;7358,289063;1,09E-05;0,000209553
613,32502;2914,746094;2146,988281;3939,306641;6639,986328;0,000223002;0,000170845
614,32654;2519,511719;4244,605469;-3889,912109;-1155,417969;0,000121912;0,000154369
615,32806;-1615,695313;4277,535156;676,5839844;6300,505859;0,000300535;0,00022452
616,32958;2161,96875;97,359375;5751,732422;5931,705078;0,000399547;0,000249319
617,3311;2606,019531;2235,570313;-1017,373047;6486,949219;0,000431767;0,000366271
618,33262;49,26171875;8305,65625;1549,486328;938,9277344;0,000470074;0,000340948
619,33414;6570,222656;-2506,84375;3750,111328;10423,26953;0,000529296;0,000444088
620,33566;8806,207031;10212,85938;3790,207031;6656,382813;0,000412445;0,00053786
621,33718;7110,738281;8115,757813;5594,992188;9363,927734;0,000685861;0,000578313
622,3387;7185,34375;3239,785156;-622,5664063;3649,724609;0,000653248;0,00071937
623,34022;7736,949219;4630,179688;1638,523438;5034,201172;0,000615614;0,000595953
624,34174;4623,636719;6526,058594;4854,447266;4194,853516;0,000752031;0,000736262
625,34326;12539,91797;13058,79688;9920,992188;6059,902344;0,000844669;0,00093897
626,34478;4279,722656;9936,453125;7292,109375;2403,095703;0,001117012;0,000910101
627,3463;6670,152344;12851,21875;9223,806641;3849,603516;0,000867169;0,001183269
628,34782;15211,35547;6313,589844;-1134,998047;7212,525391;0,000933094;0,001318805
629,34934;-910,0664063;5403,648438;296,46875;10633,15039;0,001294797;0,001514269
630,35086;15183,45703;9400,570313;-1162,40625;13118,82227;0,001585912;0,001707499
631,35238;7932,683594;4554,933594;11606,90625;7959,408203;0,001768764;0,001866931
632,3539;7012,285156;12122,13281;6266,382813;12986,19531;0,001787681;0,002287733
633,35542;12130,09766;15264,88281;7361,875;9074,599609;0,002318797;0,002364843
634,35694;22452,11328;18041,9375;2349,503906;13190,28711;0,002253317;0,002685826
635,35846;21697,33594;9921,367188;1346,15625;13428,07422;0,00297102;0,003171205
636,35998;10453,72656;18311,15234;841,9492188;19281,20313;0,003458322;0,003562156
637,3615;25723,85547;23227,66797;17232,32031;17386,27148;0,003869541;0,003940105
638,36302;33096,87109;27774,95703;14236,26953;17634,37109;0,00449308;0,004719556
639,36454;34547,30469;13637,99219;19743,27344;12476,36914;0,004594571;0,005354471
640,36606;56263,25;29680;19987,9043;16371,00781;0,005581219;0,006418185
641,36758;44377,17578;30725,88281;24264,03125;23292,14844;0,006315059;0,007400571
642,3691;63890,75391;34972,04297;34622,16406;27496,87109;0,008493909;0,00874325
643,37062;64436,80469;50202,57813;36319,35938;27950,93359;0,009095675;0,010286614
644,37214;75914,03125;49926,44922;28197,02148;38088,8125;0,010182039;0,012432526
645,37366;112125,2813;70718,64844;40875,54688;42143;0,012757158;0,013690195
646,37518;110899,1719;70181,4375;54775,98828;45258,38281;0,014359737;0,016427456
647,3767;128993,5;96904,65625;57248,34375;51952,02734;0,017232867;0,019527239
648,37822;136578;107237,1094;79579,6875;56228,71484;0,018733626;0,021749584
649,37974;177177,0625;130571,3594;66164,86719;78541,14844;0,021232599;0,025427375
650,38126;191017,9688;139816,375;92309,875;78690,16406;0,024698239;0,027824067
651,38278;226321,5;151975,9688;84687,71875;91436,46875;0,027341917;0,031924769
652,3843;278326,375;164344,1719;106632,8047;111279,2734;0,032676001;0,035488128
653,38582;274074,4063;171608,125;116303,5;101353,4609;0,035457948;0,040948595
654,38734;330520,1875;192849,3594;113985,4141;124411,1484;0,041100244;0,046275527
655,38886;351154,1875;234278,5625;150612,0313;114402,375;0,045542098;0,050996925
656,39038;423781,1563;244686,0156;148657,7969;165209,0781;0,051096596;0,056905929
657,3919;488645,3438;329062,3125;172633;171859,1563;0,056545126;0,0638308
658,39342;483508,4375;349648,5;182676,9375;203124,7344;0,064910949;0,071634214
659,39494;591370,25;384027;226920,625;232376,2813;0,073147129;0,079463664
660,39646;633309,9375;431188,9063;265986,1875;247486;0,083395994;0,090963377
661,39798;705113,1875;512562,125;283709,1563;287277,3125;0,095607231;0,102182894
662,3995;822968,625;560557,875;333852,9688;311921,875;0,110809316;0,115707994
663,40102;950471,5625;637760,0625;367192,3438;372747,25;0,125100228;0,131689142
664,40254;1139426,625;734489,8125;385402,0938;391947,25;0,144235159;0,146765807
665,40406;1215567,375;826575,375;474988,5;467023,5625;0,164920347;0,168408328
666,40558;1408168,75;914037,0625;547442,375;531783,8125;0,187128341;0,18929058
667,4071;1592289,625;1107749,5;650400,5;618913,375;0,218381499;0,217188194
668,40862;1824314;1201824,5;723445,875;666557,25;0,247936544;0,244755652
669,41014;2109664;1383993,375;824573,125;754333,6875;0,283526696;0,276408074
670,41166;2371587,5;1598609,875;912145,8125;836539,5625;0,318285752;0,30786895
671,41318;2705507,25;1723673,75;1010341;936807,5625;0,362905549;0,345140525
672,4147;2967050,75;1928856,125;1111708,875;1024229,125;0,403795489;0,383269519
673,41622;3245688;2301922;1228665,125;1157897,125;0,447350235;0,426979149
674,41774;3585172,75;2475185,5;1492711,5;1298041;0,501576806;0,472557211
675,41926;4179055,5;2722247,5;1599746,5;1420842,75;0,555666682;0,519684547
676,42078;4531797;3059232;1738061,5;1563238;0,610236289;0,576782104
677,4223;5013122,5;3422275,25;1921788,875;1738062,125;0,675257321;0,637591212
678,42382;5570690,5;3631635,25;2039065,125;1922937,625;0,7310208;0,69828976
679,42534;5940051;3998190,75;2329937,25;2199318;0,802464223;0,764131049
680,42686;6222956;4434886;2472545;2307120,25;0,867010636;0,820056439
681,42838;6781217,5;4439161,5;2675710,25;2497792,25;0,917043729;0,878522788
682,4299;7104137;4690158,5;2779556,75;2573936;0,963067734;0,929346146
683,43142;7239742,5;4991427;2865580,25;2729937;0,988841188;0,969328556
684,43294;7394832,5;4921230;2936824,25;2737881,25;1;0,983648989
685,43446;7139330;4752449;3016598,5;2748197,25;0,992125866;1
686,43598;7074521,5;4579672;2910544,75;2704973,25;0,955394055;0,982854272
687,4375;6679297;4308830,5;2754365,25;2548223,5;0,910703126;0,953731692
688,43902;6217636,5;3992905;2615846;2384078,75;0,856048445;0,915394542
689,44054;5960666;3730327,5;2536841,25;2304010;0,796044479;0,866665936
690,44206;5262157;3302738;2157961,25;1998399;0,724008136;0,802645669
691,44358;4853199;3004751,75;2061539,125;1867575,125;0,656183435;0,74324565
692,4451;4296472;2817664,5;1895035;1738683,125;0,598938775;0,680812011
