wavelength_fluor;em_rt_hp;wavelength_abs;abs_hp
602,3083;4895,554688;800;-0,012785387
603,30982;6438,875;799,5999756;-0,016404687
604,31134;-305,8398438;799,2000122;-0,014935534
605,31286;3493,658203;798,7999878;-0,012793581
606,31438;3139,494141;798,4000244;-0,012593665
607,3159;7041,488281;798;-0,01313819
608,31742;465,0058594;797,5999756;-0,013181787
609,31894;1259,214844;797,2000122;-0,014545839
610,32046;6461,001953;796,7999878;-0,014386549
611,32198;3687,638672;796,4000244;-0,012685188
612,3235;7358,289063;796;-0,014111444
613,32502;6639,986328;795,5999756;-0,012225924
614,32654;-1155,417969;795,2000122;-0,015349817
615,32806;6300,505859;794,7999878;-0,01443678
616,32958;5931,705078;794,4000244;-0,013426058
617,3311;6486,949219;794;-0,013900451
618,33262;938,9277344;793,5999756;-0,015173222
619,33414;10423,26953;793,2000122;-0,014349484
620,33566;6656,382813;792,7999878;-0,014379636
621,33718;9363,927734;792,4000244;-0,01436992
622,3387;3649,724609;792;-0,013426058
623,34022;5034,201172;791,5999756;-0,012495032
624,34174;4194,853516;791,2000122;-0,012995666
625,34326;6059,902344;790,7999878;-0,013425958
626,34478;2403,095703;790,4000244;-0,013705409
627,3463;3849,603516;790;-0,014345527
628,34782;7212,525391;789,5999756;-0,012914662
629,34934;10633,15039;789,2000122;-0,013214231
630,35086;13118,82227;788,7999878;-0,014053807
631,35238;7959,408203;788,4000244;-0,012256174
632,3539;12986,19531;788;-0,012965819
633,35542;9074,599609;787,5999756;-0,013648018
634,35694;13190,28711;787,2000122;-0,013532761
635,35846;13428,07422;786,7999878;-0,013639991
636,35998;19281,20313;786,4000244;-0,014155845
637,3615;17386,27148;786;-0,013488748
638,36302;17634,37109;785,5999756;-0,015109574
639,36454;12476,36914;785,2000122;-0,013707165
640,36606;16371,00781;784,7999878;-0,014113549
641,36758;23292,14844;784,4000244;-0,013687751
642,3691;27496,87109;784;-0,013827239
643,37062;27950,93359;783,5999756;-0,014206856
644,37214;38088,8125;783,2000122;-0,012791018
645,37366;42143;782,7999878;-0,013751908
646,37518;45258,38281;782,4000244;-0,01386144
647,3767;51952,02734;782;-0,014799553
648,37822;56228,71484;781,5999756;-0,013819767
649,37974;78541,14844;781,2000122;-0,014306004
650,38126;78690,16406;780,7999878;-0,013222617
651,38278;91436,46875;780,4000244;-0,013497431
652,3843;111279,2734;780;-0,014502379
653,38582;101353,4609;779,5999756;-0,013225731
