Wavelength (nm);Abs_HP;Abs_AT
800;-0,012785387;0,001335126
799,5999756;-0,016404687;0,00103722
799,2000122;-0,014935534;0,000922987
798,7999878;-0,012793581;0,001516975
798,4000244;-0,012593665;0,001071343
798;-0,01313819;0,000173186
797,5999756;-0,013181787;0,001647839
797,2000122;-0,014545839;0,001016047
796,7999878;-0,014386549;0,000601722
796,4000244;-0,012685188;0,000488406
796;-0,014111444;0,000328876
795,5999756;-0,012225924;0,002549731
795,2000122;-0,015349817;0,001987978
794,7999878;-0,01443678;0,001905109
794,4000244;-0,013426058;0,001296854
794;-0,013900451;0,00085207
793,5999756;-0,015173222;0,000980631
793,2000122;-0,014349484;0,001402512
792,7999878;-0,014379636;0,001550668
792,4000244;-0,01436992;0,000844833
792;-0,013426058;0,00167003
791,5999756;-0,012495032;-0,000869725
791,2000122;-0,012995666;0,001814223
790,7999878;-0,013425958;4,76E-06
790,4000244;-0,013705409;0,001371194
790;-0,014345527;0,001368259
789,5999756;-0,012914662;0,000131961
789,2000122;-0,013214231;0,002395767
788,7999878;-0,014053807;0,000991113
788,4000244;-0,012256174;0,002395195
788;-0,012965819;0,001079154
787,5999756;-0,013648018;0,000735084
787,2000122;-0,013532761;0,001094257
786,7999878;-0,013639991;0,002035439
786,4000244;-0,014155845;0,000371156
786;-0,013488748;0,000387867
785,5999756;-0,015109574;0,001495727
785,2000122;-0,013707165;0,00052881
784,7999878;-0,014113549;0,001367065
784,4000244;-0,013687751;0,000946775
784;-0,013827239;0,001457597
783,5999756;-0,014206856;0,002339678
783,2000122;-0,012791018;0,000509735
782,7999878;-0,013751908;0,00138854
782,4000244;-0,01386144;0,000706511
782;-0,014799553;0,001373037
781,5999756;-0,013819767;0,001538744
781,2000122;-0,014306004;0,000295926
780,7999878;-0,013222617;0,00132126
780,4000244;-0,013497431;0,002593868
780;-0,014502379;0,00276804
779,5999756;-0,013225731;-1,62E-05
779,2000122;-0,012889685;0,001967773
778,7999878;-0,012445932;0,000905762
778,4000244;-0,012649938;0,001448559
778;-0,014661878;0,002197548
777,5999756;-0,013934447;0,000738948
777,2000122;-0,012649938;0,000118626
776,7999878;-0,013947031;0,000192039
776,4000244;-0,013566534;0,002277741
776;-0,011998049;0,001366571
775,5999756;-0,013082081;0,000458398
775,2000122;-0,013407034;0,000944155
774,7999878;-0,012825954;0,000661994
774,4000244;-0,013971396;0,00152986
774;-0,013682734;0,001094413
773,5999756;-0,013290608;0,002136542
773,2000122;-0,013162048;0,000849606
772,7999878;-0,014054257;0,00250841
772,4000244;-0,01242128;0,001529652
772;-0,012787146;0,000906411
771,5999756;-0,012651648;0,00196499
771,2000122;-0,013722765;0,000493952
770,7999878;-0,013539487;0,0003181
770,4000244;-0,013650477;0,000623678
770;-0,012978934;0,000546641
769,5999756;-0,012672517;0,000842525
769,2000122;-0,013507017;0,001554072
768,7999878;-0,01358505;0,000945478
768,4000244;-0,014621434;0,001045887
768;-0,014459916;0,001147954
767,5999756;-0,013402064;0,001128384
767,2000122;-0,013007424;0,000848801
766,7999878;-0,013205593;3,68E-05
766,4000244;-0,014344926;0,001328141
766;-0,012888781;0,001147045
765,5999756;-0,013737713;0,001212871
765,2000122;-0,012329299;0,002640302
764,7999878;-0,013179074;0,000925321
764,4000244;-0,013336198;0,001353977
764;-0,012182986;0,001024895
763,5999756;-0,013201825;0,001722447
763,2000122;-0,013525937;0,000873572
762,7999878;-0,013151148;-0,000312849
762,4000244;-0,011959471;0,001046509
762;-0,013477506;0,001114785
761,5999756;-0,011514211;0,000225603
761,2000122;-0,01243914;0,001390644
760,7999878;-0,013638987;0,001485467
760,4000244;-0,012378512;0,001734064
760;-0,011182641;0,001408329
759,5999756;-0,012340572;0,001351718
759,2000122;-0,012166021;0,001765772
758,7999878;-0,013991498;0,001631027
758,4000244;-0,013441066;0,002050914
758;-0,013444681;0,001678216
757,5999756;-0,012537435;0,00079841
757,2000122;-0,013514846;0,000585106
756,7999878;-0,012151422;0,001763303
756,4000244;-0,013352415;0,002405138
756;-0,012562584;0,002100983
755,5999756;-0,012187517;0,001041631
755,2000122;-0,012322305;0,001016358
754,7999878;-0,013237783;0,001663664
754,4000244;-0,014024283;0,001505286
754;-0,011765015;0,001465363
753,5999756;-0,011468228;0,002364664
753,2000122;-0,012576365;0,002687392
752,7999878;-0,012947779;0,001607435
752,4000244;-0,012420273;0,00185059
752;-0,013047567;0,001522145
751,5999756;-0,012207803;0,001039815
751,2000122;-0,012613933;0,00160624
750,7999878;-0,011753325;0,001674266
750,4000244;-0,012957679;0,001841544
750;-0,013262439;0,001976042
749,5999756;-0,01247018;0,001007018
749,2000122;-0,012145884;0,002331766
748,7999878;-0,012625148;0,001655037
748,4000244;-0,012304691;0,001967252
748;-0,012320695;0,000577667
747,5999756;-0,012657783;0,002944314
747,2000122;-0,012088941;0,001795819
746,7999878;-0,011832681;0,000729665
746,4000244;-0,012453529;0,002168202
746;-0,011614379;0,002295202
745,5999756;-0,011390116;0,001099992
745,2000122;-0,011276226;0,002240635
744,7999878;-0,010901864;0,001869048
744,4000244;-0,012200806;0,001504429
744;-0,011748437;0,001678788
743,5999756;-0,011486531;0,002407767
743,2000122;-0,010769918;0,001347252
742,7999878;-0,012109736;0,002588452
742,4000244;-0,011237079;0,00240709
742;-0,010641366;0,002102986
741,5999756;-0,010921756;0,001588755
741,2000122;-0,009463237;0,001830626
740,7999878;-0,010165471;0,000930094
740,4000244;-0,0097454;0,001340708
740;-0,010488773;0,001951781
739,5999756;-0,009425852;0,001960986
739,2000122;-0,010020197;0,002672181
738,7999878;-0,010054901;0,001488844
738,4000244;-0,0098025;0,002530958
738;-0,010095673;0,002210453
737,5999756;-0,009894106;0,002167681
737,2000122;-0,009072351;0,002291481
736,7999878;-0,009300804;0,00222864
736,4000244;-0,009231525;0,001848017
736;-0,009197972;0,002230852
735,5999756;-0,009489425;0,002712528
735,2000122;-0,008988786;0,00248136
734,7999878;-0,008814761;0,002176241
734,4000244;-0,008211599;0,002993652
734;-0,007591369;0,002664003
733,5999756;-0,007610141;0,002296139
733,2000122;-0,007098723;0,002811287
732,7999878;-0,007950092;0,002898421
732,4000244;-0,006927097;0,002852064
732;-0,00650888;0,002389572
731,5999756;-0,006109965;0,001931395
731,2000122;-0,00517973;0,003347472
730,7999878;-0,006041605;0,003142352
730,4000244;-0,005069675;0,003124205
730;-0,005130053;0,003143395
729,5999756;-0,004802377;0,003233621
729,2000122;-0,004954678;0,003846555
728,7999878;-0,004723979;0,003235681
728,4000244;-0,00435807;0,002703932
728;-0,003521449;0,003570724
727,5999756;-0,002338238;0,003868571
727,2000122;-0,002962976;0,003314579
726,7999878;-0,001819178;0,003584113
726,4000244;-0,002676988;0,003542694
726;-0,001455611;0,003843368
725,5999756;-0,001486466;0,004106959
725,2000122;-0,000567309;0,003781373
724,7999878;-0,001052696;0,003837362
724,4000244;-0,0002965;0,004231731
724;0,000234668;0,004927074
723,5999756;0,001418691;0,004786398
723,2000122;0,001829742;0,004146629
722,7999878;0,002474148;0,004019296
722,4000244;0,00259465;0,004559225
722;0,00408561;0,004017101
721,5999756;0,004744524;0,005863515
721,2000122;0,004393486;0,005640052
720,7999878;0,004906522;0,006218658
720,4000244;0,00597874;0,006375822
720;0,007345329;0,005432222
719,5999756;0,007705665;0,006754126
719,2000122;0,007994181;0,00665967
718,7999878;0,008320884;0,006628969
718,4000244;0,009494434;0,007416471
