Wavelength (nm);em_HP_lt;em_AT_lt
602,3083;-5081,0625;0,005623602
603,30982;6777,75;0,005312081
604,31134;-2166,15625;0,004993302
605,31286;4237,8125;0,004694658
606,31438;1636,71875;0,004300855
607,3159;-4926,78125;0,004456024
608,31742;8228,40625;0,004141585
609,31894;11462,59375;0,00413363
610,32046;-313,9375;0,003530848
611,32198;14436,1875;0,003659245
612,3235;27850,0625;0,003272001
613,32502;43880,96875;0,003144753
614,32654;62382,3125;0,00307377
615,32806;65807,5;0,002714062
616,32958;91220,34375;0,002837419
617,3311;116929,375;0,002817454
618,33262;146131,0938;0,00250546
619,33414;169788,2188;0,002320212
620,33566;190429,4688;0,002299983
621,33718;233163;0,002003459
622,3387;256889,25;0,002086616
623,34022;301039,8438;0,002286218
624,34174;343943,125;0,002199639
625,34326;383106,0938;0,001870322
626,34478;422834,0938;0,001969296
627,3463;431295,625;0,001731487
628,34782;465623,3125;0,001722366
629,34934;535290,625;0,001722384
630,35086;529766,4375;0,001496015
631,35238;543315,75;0,001484523
632,3539;577398,75;0,001237414
633,35542;613626,25;0,001477382
634,35694;580887,75;0,000952348
635,35846;604873,375;0,000830629
636,35998;624119,375;0,000878593
637,3615;630917,875;0,000463702
638,36302;591186,1875;0,00058222
639,36454;595176;0,00051733
640,36606;643137,6875;0,000423422
641,36758;617454,875;7,89E-05
642,3691;600088,25;0
643,37062;623848,5;0,000278416
644,37214;678536,6875;4,00E-05
645,37366;646194,75;0,000101116
646,37518;671396,4375;0,000129017
647,3767;684175;0,000353989
648,37822;661651,875;0,000326976
649,37974;680662,375;0,000503418
650,38126;668854,375;0,000435035
651,38278;632438,625;0,000622203
652,3843;628086,8125;0,000827074
653,38582;653765,3125;0,000483379
654,38734;643651,25;0,000523844
655,38886;611684,5625;0,000530888
656,39038;641900,8125;0,000498756
657,3919;592858,25;0,000195375
658,39342;662837,375;0,000188243
659,39494;614935,3125;0,000186871
660,39646;600486,5;0,000242049
661,39798;632200,375;0,000639384
662,3995;590898,0625;0,000850164
663,40102;667453,375;0,000759069
664,40254;671530,25;0,001034006
665,40406;694734,75;0,001407447
666,40558;721092,125;0,002622619
667,4071;830035,375;0,004150979
668,40862;932784,4375;0,005830285
669,41014;1062555,75;0,007834459
670,41166;1425105;0,011475989
671,41318;1710322,25;0,016804402
672,4147;2245094,25;0,022724904
673,41622;3551245,5;0,034384198
674,41774;4966239;0,049585484
675,41926;6977497,5;0,071897492
676,42078;9884251;0,099029282
677,4223;12656090;0,136123273
678,42382;16509485;0,184955961
679,42534;20973628;0,234607932
680,42686;26368542;0,286925428
681,42838;30349850;0,349136602
682,4299;35800636;0,422927555
683,43142;43071792;0,494722299
684,43294;49588576;0,552975445
685,43446;53282184;0,577293353
686,43598;51750296;0,600618968
687,4375;48416176;0,572482586
688,43902;44975960;0,576538367
689,44054;42075832;0,585261731
690,44206;41151576;0,600164493
691,44358;40355204;0,645640597
692,4451;40946972;0,676093261
693,44662;41304660;0,717042546
694,44814;42212700;0,736066713
695,44966;41808880;0,750797791
696,45118;40222604;0,752406253
697,4527;37918464;0,787987023
698,45422;35593976;0,779842124
699,45574;33043492;0,768614284
700,45726;30497000;0,767315588
701,45878;28281898;0,7426225
702,4603;27036356;0,738116819
703,46182;24183482;0,729899198
704,46334;23055178;0,712108997
705,46486;21028572;0,691725402
706,46638;20088030;0,677778599
707,4679;18794636;0,653228168
708,46942;17817068;0,652615051
709,47094;17035458;0,631032878
710,47246;16820996;0,647730141
711,47398;16604158;0,6510801
712,4755;16268019;0,652246338
713,47702;15936104;0,66688587
714,47854;16174570;0,691891249
715,48006;16571981;0,706651406
716,48158;16318362;0,737490345
717,4831;17653122;0,799024723
718,48462;18877092;0,777765463
719,48614;19504938;0,82972805
720,48766;20291818;0,85037456
721,48918;21318090;0,874057634
722,4907;22539122;0,917950201
723,49222;23880370;0,937766005
724,49374;25766854;0,96139618
725,49526;26572678;0,962814029
726,49678;28784866;0,974526474
727,4983;30894894;0,997364014
728,49982;31881018;1
729,50134;34918216;0,989104274
730,50286;37099568;0,994279284
731,50438;38263556;0,964488798
732,5059;40394492;0,982188976
733,50742;41903988;0,928429365
734,50894;42555064;0,953133811
735,51046;44305500;0,91312918
736,51198;44469456;0,908433201
737,5135;45992508;0,895164509
738,51502;46390084;0,867552695
739,51654;47526864;0,842080905
740,51806;46440436;0,847150328
741,51958;46786868;0,804244955
742,5211;45341716;0,757767302
743,52262;44848056;0,736567566
744,52414;45330868;0,724271554
745,52566;43585060;0,703605535
746,52718;42979728;0,670627783
747,5287;42010496;0,616288338
748,53022;41158240;0,612456141
749,53174;39506612;0,590212211
750,53326;38229588;0,571485612
751,53478;36093804;0,535266064
752,5363;35516404;0,501340555
753,53782;34217516;0,482898272
754,53934;31481976;0,467390963
755,54086;30657272;0,436420672
756,54238;29790554;0,427278405
757,5439;27914808;0,405220357
758,54542;26819980;0,395420618
759,54694;25153754;0,373946635
760,54846;23808268;0,358687281
761,54998;22674950;0,337093488
762,5515;21659860;0,330529945
763,55302;20546970;0,323029294
764,55454;20001326;0,305905951
765,55606;18707444;0,287376932
766,55758;17976758;0,284908344
767,5591;16236494;0,269582945
768,56062;15156840;0,261246566
769,56214;14335710;0,247736596
770,56366;14032409;0,243019532
771,56518;13545305;0,242890046
772,5667;13034290;0,226332838
773,56822;12314787;0,216802245
774,56974;11655090;0,210875535
775,57126;10628647;0,209738257
776,57278;10886526;0,203346305
777,5743;10408438;0,199520496
778,57582;10048851;0,193181522
779,57734;9573389;0,187589542
780,57886;9470586;0,184147366
781,58038;8981486;0,178987644
782,5819;8669225;0,17248494
783,58342;8300587,5;0,161163133
784,58494;8193086,5;0,168007969
785,58646;7097206,5;0,164179255
786,58798;7357909,5;0,160264949
787,5895;6986735,5;0,15682836
788,59102;7205046;0,153707716
789,59254;6969003,5;0,150010552
790,59406;6470671,5;0,149217284
791,59558;6290145,5;0,14548042
792,5971;6576794;0,145617662
793,59862;6234457,5;0,138974915
794,60014;5848368;0,137063654
795,60166;6266031;0,134002665
796,60318;5808965,5;0,131303737
797,6047;6129725;0,130706854
798,60622;5680116;0,126984542
799,60774;5750201,5;0,128772378
800,60926;5464847;0,122170961
801,61078;5224993;0,127134956
802,6123;5647704,5;0,117821741
803,61382;5459575;0,111923386
804,61534;5063095;0,113963108
805,61686;5403876;0,112168331
806,61838;4916029;0,110631133
807,6199;5502055,5;0,10788973
808,62142;4874412,5;0,103607455
809,62294;5031904,5;0,101553326
810,62446;4884779;0,096226976
811,62598;4494197,5;0,095489328
812,6275;4804218;0,097489047
813,62902;4518657,5;0,093677054
814,63054;4597703;0,089239252
815,63206;4903837;0,084921154
816,63358;4377514,5;0,083291705
817,6351;4392898,5;0,079525841
818,63662;4282187,5;0,078700222
819,63814;4663273;0,078946922
820,63966;4415524;0,077692699
821,64118;4703864;0,075393533
822,6427;5012023,5;0,072768102
823,64422;5168572;0,07294511
824,64574;4977731;0,070834382
825,64726;4708150;0,067589484
826,64878;4155620,75;0,063488909
827,6503;4152422,75;0,061638014
828,65182;4656786;0,060038898
829,65334;3917923,75;0,057388366
830,65486;3342098,75;0,052661817
831,65638;3648538,75;0,050636674
832,6579;3524548;0,049449784
833,65942;3627856,5;0,048032639
834,66094;3484353;0,046026623
835,66246;3855259,5;0,043128622
836,66398;2935123,25;0,041378114
837,6655;3116633,75;0,038138162
838,66702;2845336,25;0,036603688
839,66854;2673911,75;0,034123038
840,67006;2348829,25;0,033563476
841,67158;2307701;0,032142847
842,6731;2295723,25;0,028944613
843,67462;2420425,5;0,025704915
844,67614;2039303,25;0,027234476
845,67766;1602187,25;0,024339672
846,67918;1592215,875;0,023592356
847,6807;1358579,75;0,021304226
848,68222;1076944,875;0,02103597
849,68374;2248025;0,017658626
850,68526;1650716;0,0182673
851,68678;1030176,625;0,014697477
852,6883;1755963,5;0,013374007
