Wavelength;em_HP_rt;em_HP_lt
602,3083;4895.554688;-5081,0625
603,30982;6438,875;6777,75
604,31134;-305,8398438;-2166,15625
605,31286;3493,658203;4237,8125
606,31438;3139,494141;1636,71875
607,3159;7041,488281;-4926,78125
608,31742;465,0058594;8228,40625
609,31894;1259,214844;11462,59375
610,32046;6461,001953;-313,9375
611,32198;3687,638672;14436,1875
612,3235;7358,289063;27850,0625
613,32502;6639,986328;43880,96875
614,32654;-1155,417969;62382,3125
615,32806;6300,505859;65807,5
616,32958;5931,705078;91220,34375
617,3311;6486,949219;116929,375
618,33262;938,9277344;146131,0938
619,33414;10423,26953;169788,2188
620,33566;6656,382813;190429,4688
621,33718;9363,927734;233163
622,3387;3649,724609;256889,25
623,34022;5034,201172;301039,8438
624,34174;4194,853516;343943,125
625,34326;6059,902344;383106,0938
626,34478;2403,095703;422834,0938
627,3463;3849,603516;431295,625
628,34782;7212,525391;465623,3125
629,34934;10633,15039;535290,625
630,35086;13118,82227;529766,4375
631,35238;7959,408203;543315,75
632,3539;12986,19531;577398,75
633,35542;9074,599609;613626,25
634,35694;13190,28711;580887,75
635,35846;13428,07422;604873,375
636,35998;19281,20313;624119,375
637,3615;17386,27148;630917,875
638,36302;17634,37109;591186,1875
639,36454;12476,36914;595176
640,36606;16371,00781;643137,6875
641,36758;23292,14844;617454,875
642,3691;27496,87109;600088,25
643,37062;27950,93359;623848,5
644,37214;38088,8125;678536,6875
645,37366;42143;646194,75
646,37518;45258,38281;671396,4375
647,3767;51952,02734;684175
648,37822;56228,71484;661651,875
649,37974;78541,14844;680662,375
650,38126;78690,16406;668854,375
651,38278;91436,46875;632438,625
652,3843;111279,2734;628086,8125
653,38582;101353,4609;653765,3125
654,38734;124411,1484;643651,25
655,38886;114402,375;611684,5625
656,39038;165209,0781;641900,8125
657,3919;171859,1563;592858,25
658,39342;203124,7344;662837,375
659,39494;232376,2813;614935,3125
660,39646;247486;600486,5
661,39798;287277,3125;632200,375
662,3995;311921,875;590898,0625
663,40102;372747,25;667453,375
664,40254;391947,25;671530,25
665,40406;467023,5625;694734,75
666,40558;531783,8125;721092,125
667,4071;618913,375;830035,375
668,40862;666557,25;932784,4375
669,41014;754333,6875;1062555,75
670,41166;836539,5625;1425105
671,41318;936807,5625;1710322,25
672,4147;1024229,125;2245094,25
673,41622;1157897,125;3551245,5
674,41774;1298041;4966239
675,41926;1420842,75;6977497,5
676,42078;1563238;9884251
677,4223;1738062,125;12656090
678,42382;1922937,625;16509485
679,42534;2199318;20973628
680,42686;2307120,25;26368542
681,42838;2497792,25;30349850
682,4299;2573936;35800636
683,43142;2729937;43071792
684,43294;2737881,25;49588576
685,43446;2748197,25;53282184
686,43598;2704973,25;51750296
687,4375;2548223,5;48416176
688,43902;2384078,75;44975960
689,44054;2304010;42075832
690,44206;1998399;41151576
691,44358;1867575,125;40355204
692,4451;1738683,125;40946972
693,44662;1600378,5;41304660
694,44814;1379878,75;42212700
695,44966;1295139,5;41808880
696,45118;1200363,125;40222604
697,4527;1143464,375;37918464
698,45422;1007100,125;35593976
699,45574;978083,625;33043492
700,45726;864884,25;30497000
701,45878;843496,125;28281898
702,4603;744425,3125;27036356
703,46182;778872,3125;24183482
704,46334;721993,25;23055178
705,46486;681028,75;21028572
706,46638;585929,6875;20088030
707,4679;617284,5;18794636
708,46942;606208,75;17817068
709,47094;582610,8125;17035458
710,47246;571719,8125;16820996
711,47398;525346,625;16604158
712,4755;595109,125;16268019
713,47702;538099,0625;15936104
714,47854;491787,8125;16174570
715,48006;526877,4375;16571981
716,48158;505876,4375;16318362
717,4831;518865,9688;17653122
718,48462;486506,5938;18877092
719,48614;511864,4688;19504938
720,48766;507689,4375;20291818
721,48918;489743,4375;21318090
722,4907;486768,125;22539122
723,49222;511012,25;23880370
724,49374;501803,7813;25766854
725,49526;491292,8125;26572678
726,49678;504405,7813;28784866
727,4983;486371,0313;30894894
728,49982;487808,3438;31881018
729,50134;552858,5;34918216
730,50286;554980,875;37099568
731,50438;524880,4375;38263556
732,5059;591302,25;40394492
733,50742;560104,375;41903988
734,50894;507173,0938;42555064
735,51046;484955,4688;44305500
736,51198;460859,9688;44469456
737,5135;540318,5625;45992508
738,51502;552193,75;46390084
739,51654;587049,1875;47526864
740,51806;515939,2813;46440436
741,51958;586002,75;46786868
742,5211;516177,375;45341716
743,52262;526781,75;44848056
744,52414;552738,625;45330868
745,52566;481116,8125;43585060
746,52718;523797,125;42979728
747,5287;530047,6875;42010496
748,53022;541902,75;41158240
749,53174;511877,8125;39506612
750,53326;460357,3438;38229588
751,53478;490674;36093804
752,5363;440014,9063;35516404
753,53782;468610,0625;34217516
754,53934;422826,1875;31481976
755,54086;357746,625;30657272
756,54238;366161,0938;29790554
757,5439;325812,25;27914808
758,54542;360988,9375;26819980
759,54694;266878,875;25153754
760,54846;394798,8125;23808268
761,54998;293465,2813;22674950
762,5515;350846,875;21659860
763,55302;327762,4688;20546970
764,55454;248313,0156;20001326
765,55606;246823,1719;18707444
766,55758;322587,875;17976758
767,5591;248013,1563;16236494
768,56062;217842,4688;15156840
769,56214;207229,8594;14335710
770,56366;207835,8438;14032409
771,56518;183720,8438;13545305
772,5667;160588,75;13034290
773,56822;157645,9375;12314787
774,56974;166844,4219;11655090
775,57126;230667,3125;10628647
776,57278;175740,9219;10886526
777,5743;93989,40625;10408438
778,57582;150085,3906;10048851
779,57734;113467,125;9573389
780,57886;145169,4219;9470586
781,58038;144697,4531;8981486
782,5819;139903,3281;8669225
783,58342;124257,2578;8300587,5
784,58494;163316,5469;8193086,5
785,58646;106582,0703;7097206,5
786,58798;101648,3203;7357909,5
787,5895;111489,2813;6986735,5
788,59102;94380,21875;7205046
789,59254;89468,17188;6969003,5
790,59406;151909,0781;6470671,5
791,59558;154188,7188;6290145,5
792,5971;41692,71094;6576794
793,59862;109656,6172;6234457,5
794,60014;149768,0938;5848368
795,60166;33467,51563;6266031
796,60318;116498,625;5808965,5
797,6047;74097,29688;6129725
798,60622;129251,125;5680116
799,60774;55303,33203;5750201,5
800,60926;86714,00781;5464847
