Baseline 100%T;;Baseline 0%T;;Eva;;Jasmijn;;Mads;;Koen;;F. albivenis (Nicco);;A. thaliana (model);
Wavelength (nm);%T;Wavelength (nm);%T;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
800;63,00094223;800;-4,779579639;800;-0,000741104;800;-0,012785387;800;-0,000518238;800;-0,019468872;800;-0,000108966;800;0,001335126
799,5999756;62,65742874;799,5999756;-5,086399078;799,5999756;-0,001708887;799,5999756;-0,016404687;799,5999756;-0,003437477;799,5999756;-0,021547344;799,5999756;-0,001098556;799,5999756;0,00103722
799,2000122;62,72286606;799,2000122;-4,943169594;799,2000122;-0,002096252;799,2000122;-0,014935534;799,2000122;-0,002398173;799,2000122;-0,021238681;799,2000122;-0,000550556;799,2000122;0,000922987
798,7999878;63,00222397;798,7999878;-4,889007568;798,7999878;-0,000808442;798,7999878;-0,012793581;798,7999878;-0,000866005;798,7999878;-0,018930795;798,7999878;-0,000276374;798,7999878;0,001516975
798,4000244;63,07740021;798,4000244;-4,989461422;798,4000244;-0,000192031;798,4000244;-0,012593665;798,4000244;-0,000915811;798,4000244;-0,018655233;798,4000244;0,00055859;798,4000244;0,001071343
798;62,92792511;798;-4,961314201;798;-0,002665668;798;-0,01313819;798;-0,002657538;798;-0,019348515;798;-0,000232187;798;0,000173186
797,5999756;62,90176392;797,5999756;-4,969305038;797,5999756;-0,000580907;797,5999756;-0,013181787;797,5999756;-0,00309562;797,5999756;-0,020213738;797,5999756;0,000699692;797,5999756;0,001647839
797,2000122;62,80414963;797,2000122;-5,081904888;797,2000122;-0,001998142;797,2000122;-0,014545839;797,2000122;-0,003069043;797,2000122;-0,020430133;797,2000122;-0,00043927;797,2000122;0,001016047
796,7999878;62,80196381;796,7999878;-4,976449966;796,7999878;-0,002936495;796,7999878;-0,014386549;796,7999878;-0,002751126;796,7999878;-0,021894284;796,7999878;-0,001497559;796,7999878;0,000601722
796,4000244;63,08474731;796,4000244;-4,870229721;796,4000244;-7,15E-05;796,4000244;-0,012685188;796,4000244;-0,000404978;796,4000244;-0,019141637;796,4000244;-0,001168524;796,4000244;0,000488406
796;63,04715347;796;-4,979964256;796;-0,0009871;796;-0,014111444;796;-0,000868692;796;-0,018936446;796;-0,000878251;796;0,000328876
795,5999756;63,15047836;795,5999756;-4,849619865;795,5999756;-0,000788754;795,5999756;-0,012225924;795,5999756;-0,001556733;795,5999756;-0,019641006;795,5999756;0,000160264;795,5999756;0,002549731
795,2000122;62,92188263;795,2000122;-4,899346352;795,2000122;-0,001768187;795,2000122;-0,015349817;795,2000122;-0,002517606;795,2000122;-0,020724513;795,2000122;0,000133048;795,2000122;0,001987978
794,7999878;62,94737625;794,7999878;-4,947697639;794,7999878;-0,001994792;794,7999878;-0,01443678;794,7999878;-0,001646742;794,7999878;-0,02105909;794,7999878;0,000546434;794,7999878;0,001905109
794,4000244;63,12489319;794,4000244;-5,011499882;794,4000244;-0,000833401;794,4000244;-0,013426058;794,4000244;-0,00189403;794,4000244;-0,018770576;794,4000244;0,000608176;794,4000244;0,001296854
794;62,88882446;794;-4,848620892;794;-0,001979228;794;-0,013900451;794;-0,002753441;794;-0,020267451;794;-4,77E-05;794;0,00085207
793,5999756;62,93377304;793,5999756;-5,002182007;793,5999756;-0,002674775;793,5999756;-0,015173222;793,5999756;-0,002638601;793,5999756;-0,02000742;793,5999756;-0,000131895;793,5999756;0,000980631
793,2000122;63,06927872;793,2000122;-4,958687305;793,2000122;-0,00082689;793,2000122;-0,014349484;793,2000122;-0,002198564;793,2000122;-0,020033425;793,2000122;-0,00137867;793,2000122;0,001402512
792,7999878;63,14237595;792,7999878;-4,919725418;792,7999878;-0,001096232;792,7999878;-0,014379636;792,7999878;-0,002762907;792,7999878;-0,019612256;792,7999878;0,000650172;792,7999878;0,001550668
792,4000244;62,98595047;792,4000244;-5,009345531;792,4000244;-0,001511231;792,4000244;-0,01436992;792,4000244;-0,002463814;792,4000244;-0,02098377;792,4000244;0,000979204;792,4000244;0,000844833
792;63,12285614;792;-4,98789072;792;-0,000423185;792;-0,013426058;792;-0,002605615;792;-0,019192612;792;0,000287688;792;0,00167003
791,5999756;63,23324966;791,5999756;-4,902249813;791,5999756;-0,00069929;791,5999756;-0,012495032;791,5999756;-0,001186853;791,5999756;-0,01828187;791,5999756;-0,001514791;791,5999756;-0,000869725
791,2000122;63,07415771;791,2000122;-5,005785465;791,2000122;-0,001602023;791,2000122;-0,012995666;791,2000122;-0,002059618;791,2000122;-0,019945862;791,2000122;-0,000207142;791,2000122;0,001814223
790,7999878;63,04770279;790,7999878;-4,9802742;790,7999878;-0,002096819;790,7999878;-0,013425958;790,7999878;-0,002506694;790,7999878;-0,020400347;790,7999878;-0,000960859;790,7999878;4,76E-06
790,4000244;63,14402771;790,4000244;-4,976460457;790,4000244;-0,001212255;790,4000244;-0,013705409;790,4000244;-0,00228808;790,4000244;-0,020841429;790,4000244;0,00074862;790,4000244;0,001371194
790;63,08765411;790;-5,035159588;790;-0,003151647;790;-0,014345527;790;-0,002686815;790;-0,020061703;790;-0,000374098;790;0,001368259
789,5999756;63,25934601;789,5999756;-5,003885746;789,5999756;-0,001282514;789,5999756;-0,012914662;789,5999756;-0,001443382;789,5999756;-0,020502882;789,5999756;-0,000185407;789,5999756;0,000131961
789,2000122;63,25783539;789,2000122;-4,963008881;789,2000122;-0,001415826;789,2000122;-0,013214231;789,2000122;-0,001273687;789,2000122;-0,018674525;789,2000122;0,000105912;789,2000122;0,002395767
788,7999878;63,1172905;788,7999878;-5,009953499;788,7999878;-0,002725814;788,7999878;-0,014053807;788,7999878;-0,00295295;788,7999878;-0,020415166;788,7999878;-0,000123044;788,7999878;0,000991113
788,4000244;63,31058884;788,4000244;-4,959650517;788,4000244;-0,000401358;788,4000244;-0,012256174;788,4000244;-0,00110057;788,4000244;-0,01840014;788,4000244;0,00120485;788,4000244;0,002395195
788;63,32987976;788;-4,860120773;788;-0,001073354;788;-0,012965819;788;-0,000666104;788;-0,020737594;788;0,001087354;788;0,001079154
787,5999756;63,25074387;787,5999756;-5,070303917;787,5999756;-0,001245708;787,5999756;-0,013648018;787,5999756;-0,00244178;787,5999756;-0,020019978;787,5999756;-0,00059104;787,5999756;0,000735084
787,2000122;63,30656433;787,2000122;-4,994225025;787,2000122;-0,000702546;787,2000122;-0,013532761;787,2000122;-0,001458913;787,2000122;-0,020002032;787,2000122;-0,000251591;787,2000122;0,001094257
786,7999878;63,33952713;786,7999878;-4,871211052;786,7999878;-0,001122155;786,7999878;-0,013639991;786,7999878;-0,001846811;786,7999878;-0,019617749;786,7999878;0,000173367;786,7999878;0,002035439
786,4000244;63,18447495;786,4000244;-5,00734663;786,4000244;-0,0028916;786,4000244;-0,014155845;786,4000244;-0,003181559;786,4000244;-0,021301635;786,4000244;-0,000872774;786,4000244;0,000371156
786;63,2135849;786;-4,979102612;786;-0,00161007;786;-0,013488748;786;-0,00270611;786;-0,020719528;786;-0,000453234;786;0,000387867
785,5999756;63,18338394;785,5999756;-4,847144604;785,5999756;-0,002364396;785,5999756;-0,015109574;785,5999756;-0,002342564;785,5999756;-0,021382272;785,5999756;0,000410435;785,5999756;0,001495727
785,2000122;63,1702652;785,2000122;-5,074801922;785,2000122;-0,001502408;785,2000122;-0,013707165;785,2000122;-0,002856679;785,2000122;-0,021923967;785,2000122;0,000111143;785,2000122;0,00052881
784,7999878;63,32748413;784,7999878;-4,96444273;784,7999878;-0,001304917;784,7999878;-0,014113549;784,7999878;-0,002377372;784,7999878;-0,020440752;784,7999878;0,000490428;784,7999878;0,001367065
784,4000244;63,4091568;784,4000244;-4,908372402;784,4000244;-0,001042522;784,4000244;-0,013687751;784,4000244;-0,001525986;784,4000244;-0,020465743;784,4000244;6,91E-05;784,4000244;0,000946775
784;63,32101059;784;-4,954960823;784;-0,001699192;784;-0,013827239;784;-0,002838574;784;-0,019672675;784;0,000470473;784;0,001457597
783,5999756;63,24453354;783,5999756;-4,971628189;783,5999756;-0,002379998;783,5999756;-0,014206856;783,5999756;-0,00260896;783,5999756;-0,021361375;783,5999756;-0,00016952;783,5999756;0,002339678
783,2000122;63,49793243;783,2000122;-4,952229023;783,2000122;-0,000263646;783,2000122;-0,012791018;783,2000122;-0,001864441;783,2000122;-0,01949887;783,2000122;-0,00014354;783,2000122;0,000509735
782,7999878;63,33672333;782,7999878;-4,946198463;782,7999878;-0,002422731;782,7999878;-0,013751908;782,7999878;-0,002958812;782,7999878;-0,020726142;782,7999878;-0,000879904;782,7999878;0,00138854
782,4000244;63,37813568;782,4000244;-4,969102859;782,4000244;-0,002030453;782,4000244;-0,01386144;782,4000244;-0,00295732;782,4000244;-0,020356976;782,4000244;-0,000145041;782,4000244;0,000706511
782;63,27426529;782;-4,938042164;782;-0,002129637;782;-0,014799553;782;-0,001917741;782;-0,021599563;782;-0,000615753;782;0,001373037
781,5999756;63,50404739;781,5999756;-4,999341011;781,5999756;-0,000695103;781,5999756;-0,013819767;781,5999756;-0,001787212;781,5999756;-0,019515352;781,5999756;0,00110578;781,5999756;0,001538744
