Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
750;0,36113736;750;-0,000291378;750;0,065386482;750;0,035634279;750;0,054284938;;350;0,542406619;;0,542800838
749,5999756;0,361042768;749,5999756;-0,000314349;749,5999756;0,065569662;749,5999756;0,03572505;749,5999756;0,054388963;;350,3999939;0,545283258;;0,545677478
749,2000122;0,360980928;749,2000122;-0,000111502;749,2000122;0,065746054;749,2000122;0,035810977;749,2000122;0,054411702;;350,7999878;0,5478701;;0,548264319
748,7999878;0,361083955;748,7999878;-0,000231462;748,7999878;0,065642104;748,7999878;0,035829503;748,7999878;0,054522742;;351,1999817;0,550870776;;0,551264996
748,4000244;0,361171603;748,4000244;-0,000359718;748,4000244;0,065567344;748,4000244;0,035601713;748,4000244;0,054441895;;351,6000061;0,553916335;;0,554310555
748;0,3611781;748;-0,000269907;748;0,065681182;748;0,035816122;748;0,054428633;;352;0,557470858;;0,557865078
747,5999756;0,361100942;747,5999756;-7,57E-05;747,5999756;0,065841384;747,5999756;0,035796162;747,5999756;0,054597411;;352,3999939;0,561322153;;0,561716372
747,2000122;0,361205787;747,2000122;-0,000274874;747,2000122;0,06592875;747,2000122;0,035854634;747,2000122;0,054613587;;352,7999878;0,565152884;;0,565547103
746,7999878;0,361266404;746,7999878;-0,000311245;746,7999878;0,065800719;746,7999878;0,035798863;746,7999878;0,054664489;;353,1999817;0,56904465;;0,569438869
746,4000244;0,361390799;746,4000244;-0,00019317;746,4000244;0,065702744;746,4000244;0,035704114;746,4000244;0,054643586;;353,6000061;0,57275492;;0,573149139
746;0,361475974;746;-0,000233894;746;0,065618373;746;0,03563175;746;0,054405451;;354;0,576950729;;0,577344949
745,5999756;0,361408174;745,5999756;-9,87E-05;745,5999756;0,065893739;745,5999756;0,035683371;745,5999756;0,054664198;;354,3999939;0,581399679;;0,581793899
745,2000122;0,361285001;745,2000122;-4,50E-06;745,2000122;0,066080689;745,2000122;0,035742812;745,2000122;0,054918777;;354,7999878;0,58560425;;0,58599847
744,7999878;0,361301839;744,7999878;5,01E-05;744,7999878;0,066082589;744,7999878;0,03590288;744,7999878;0,054764144;;355,1999817;0,590104818;;0,590499038
744,4000244;0,361488104;744,4000244;-0,000265561;744,4000244;0,065909952;744,4000244;0,035467681;744,4000244;0,054478664;;355,6000061;0,594597995;;0,594992215
744;0,361411661;744;-0,000184942;744;0,066017129;744;0,035731964;744;0,054509155;;356;0,599114597;;0,599508816
743,5999756;0,361465514;743,5999756;-0,000207452;743,5999756;0,065952435;743,5999756;0,035585444;743,5999756;0,054583792;;356,3999939;0,603534162;;0,603928382
743,2000122;0,361283898;743,2000122;-3,24E-05;743,2000122;0,066267565;743,2000122;0,035694417;743,2000122;0,054903414;;356,7999878;0,607962847;;0,608357066
742,7999878;0,361406475;742,7999878;-9,89E-05;742,7999878;0,066162109;742,7999878;0,035450153;742,7999878;0,054717779;;357,1999817;0,613031149;;0,613425369
742,4000244;0,361282468;742,4000244;-6,19E-05;742,4000244;0,066193216;742,4000244;0,035667241;742,4000244;0,05493708;;357,6000061;0,617711484;;0,618105704
742;0,361331493;742;-5,05E-05;742;0,065943033;742;0,035523638;742;0,054746024;;358;0,622729719;;0,623123938
741,5999756;0,361322641;741,5999756;-0,00010643;741,5999756;0,065978587;741,5999756;0,03552993;741,5999756;0,054748375;;358,3999939;0,627390802;;0,627785022
741,2000122;0,361179292;741,2000122;6,76E-06;741,2000122;0,066288196;741,2000122;0,035691548;741,2000122;0,054856889;;358,7999878;0,632044971;;0,632439191
740,7999878;0,361035645;740,7999878;0,000111738;740,7999878;0,066350229;740,7999878;0,035796024;740,7999878;0,055057541;;359,1999817;0,637260556;;0,637654776
740,4000244;0,361077696;740,4000244;6,47E-05;740,4000244;0,066215254;740,4000244;0,035573758;740,4000244;0,054849427;;359,6000061;0,642475963;;0,642870182
740;0,361276656;740;-0,00039422;740;0,065921217;740;0,035286941;740;0,054388728;;360;0,647469878;;0,647864098
