Baseline 100%T;;Eva;;Koen;;Jasmijn;;Mads;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
750;0,362521023;750;-0,000835933;750;0,028768353;750;-0,007677491;750;-0,000299294
749,5999756;0,362399042;749,5999756;-0,000715675;749,5999756;0,028892448;749,5999756;-0,007586027;749,5999756;0,000112152
749,2000122;0,362490296;749,2000122;-0,000789374;749,2000122;0,028730433;749,2000122;-0,00759259;749,2000122;0,000147756
748,7999878;0,362425506;748,7999878;-0,000688797;748,7999878;0,029061968;748,7999878;-0,007603833;748,7999878;0,000516188
748,4000244;0,362464964;748,4000244;-0,000806479;748,4000244;0,028990371;748,4000244;-0,007768988;748,4000244;0,00072186
748;0,362333834;748;-0,000398616;748;0,029167736;748;-0,007578752;748;0,000931028
747,5999756;0,362266958;747,5999756;-0,00025811;747,5999756;0,029282779;747,5999756;-0,007702262;747,5999756;0,001001387
747,2000122;0,362279177;747,2000122;-0,000557226;747,2000122;0,029218733;747,2000122;-0,007690309;747,2000122;0,001235299
746,7999878;0,36215815;746,7999878;-0,000414547;746,7999878;0,029533792;746,7999878;-0,007650787;746,7999878;0,00148035
746,4000244;0,362127006;746,4000244;-0,000276788;746,4000244;0,029718058;746,4000244;-0,007552957;746,4000244;0,001789269
746;0,362110704;746;-8,63E-05;746;0,029841648;746;-0,007649159;746;0,001957683
745,5999756;0,362036973;745,5999756;-0,000202122;745,5999756;0,029823126;745,5999756;-0,007638629;745,5999756;0,002105561
745,2000122;0,362035871;745,2000122;-5,92E-05;745,2000122;0,029971626;745,2000122;-0,00766391;745,2000122;0,002315553
744,7999878;0,361913681;744,7999878;9,00E-05;744,7999878;0,030274825;744,7999878;-0,007481873;744,7999878;0,002742067
744,4000244;0,361859292;744,4000244;8,70E-05;744,4000244;0,030087909;744,4000244;-0,007540898;744,4000244;0,002903867
744;0,361916333;744;0,00013064;744;0,030287426;744;-0,007894477;744;0,002935244
743,5999756;0,361817032;743,5999756;0,000269168;743,5999756;0,030295642;743,5999756;-0,007782311;743,5999756;0,003414884
743,2000122;0,361694664;743,2000122;0,000406082;743,2000122;0,030475788;743,2000122;-0,007690258;743,2000122;0,003604498
742,7999878;0,361668974;742,7999878;0,00044627;742,7999878;0,030603845;742,7999878;-0,007671947;742,7999878;0,003785708
742,4000244;0,361673504;742,4000244;0,000520127;742,4000244;0,030657399;742,4000244;-0,007635322;742,4000244;0,004111951
